Year ka BP,Value,Variable
6800,7.52,Temp. Season [Celsius]
6700,7.00,Temp. Season [Celsius]
6600,7.05,Temp. Season [Celsius]
6500,6.76,Temp. Season [Celsius]
6400,7.28,Temp. Season [Celsius]
6300,7.23,Temp. Season [Celsius]
6200,7.27,Temp. Season [Celsius]
6100,7.02,Temp. Season [Celsius]
6000,6.20,Temp. Season [Celsius]
5900,6.32,Temp. Season [Celsius]
5800,6.63,Temp. Season [Celsius]
5700,6.73,Temp. Season [Celsius]
5600,6.64,Temp. Season [Celsius]
5500,6.98,Temp. Season [Celsius]
5400,6.96,Temp. Season [Celsius]
5300,6.53,Temp. Season [Celsius]
5200,7.08,Temp. Season [Celsius]
5100,6.70,Temp. Season [Celsius]
5000,6.57,Temp. Season [Celsius]
4900,6.75,Temp. Season [Celsius]
4800,6.59,Temp. Season [Celsius]
4700,6.20,Temp. Season [Celsius]
4600,6.33,Temp. Season [Celsius]
4500,6.52,Temp. Season [Celsius]
4400,6.50,Temp. Season [Celsius]
4300,6.69,Temp. Season [Celsius]
11400,-5.10,Ocean Temp. [Celsius]
11300,-3.00,Ocean Temp. [Celsius]
11200,-3.55,Ocean Temp. [Celsius]
11100,-3.40,Ocean Temp. [Celsius]
11000,-1.70,Ocean Temp. [Celsius]
10900,-2.25,Ocean Temp. [Celsius]
10800,-1.40,Ocean Temp. [Celsius]
10700,-1.30,Ocean Temp. [Celsius]
10600,-1.60,Ocean Temp. [Celsius]
10500,-1.80,Ocean Temp. [Celsius]
10400,-1.10,Ocean Temp. [Celsius]
10300,-0.80,Ocean Temp. [Celsius]
10200,0.10,Ocean Temp. [Celsius]
10100,0.60,Ocean Temp. [Celsius]
10000,0.10,Ocean Temp. [Celsius]
9900,0.50,Ocean Temp. [Celsius]
9800,0.55,Ocean Temp. [Celsius]
9700,0.35,Ocean Temp. [Celsius]
9600,0.00,Ocean Temp. [Celsius]
9500,-0.55,Ocean Temp. [Celsius]
9400,-0.80,Ocean Temp. [Celsius]
9300,-0.30,Ocean Temp. [Celsius]
9200,-1.20,Ocean Temp. [Celsius]
9100,-1.30,Ocean Temp. [Celsius]
9000,-0.50,Ocean Temp. [Celsius]
8900,-1.20,Ocean Temp. [Celsius]
8800,-1.10,Ocean Temp. [Celsius]
8700,-1.40,Ocean Temp. [Celsius]
8600,-2.15,Ocean Temp. [Celsius]
8500,-2.30,Ocean Temp. [Celsius]
8400,-2.30,Ocean Temp. [Celsius]
8300,-1.80,Ocean Temp. [Celsius]
