Year ka BP,Value,Variable
9827,0.0375721,SPD (corrected)
9826,0.037586185,SPD (corrected)
9825,0.037600845,SPD (corrected)
9824,0.037618455,SPD (corrected)
9823,0.037639018,SPD (corrected)
9822,0.037662858,SPD (corrected)
9821,0.037689679,SPD (corrected)
9820,0.037719482,SPD (corrected)
9819,0.03775288,SPD (corrected)
9818,0.03778986,SPD (corrected)
9817,0.037830405,SPD (corrected)
9816,0.037874499,SPD (corrected)
9815,0.037922121,SPD (corrected)
9814,0.037975879,SPD (corrected)
9813,0.038035751,SPD (corrected)
9812,0.038101697,SPD (corrected)
9811,0.038173657,SPD (corrected)
9810,0.038251551,SPD (corrected)
9809,0.03833565,SPD (corrected)
9808,0.03842603,SPD (corrected)
9807,0.038522114,SPD (corrected)
9806,0.03862364,SPD (corrected)
9805,0.038730328,SPD (corrected)
9804,0.038843886,SPD (corrected)
9803,0.038964224,SPD (corrected)
9802,0.03909097,SPD (corrected)
9801,0.039223747,SPD (corrected)
9800,0.039362168,SPD (corrected)
9799,0.039507115,SPD (corrected)
9798,0.039657799,SPD (corrected)
9797,0.039814067,SPD (corrected)
9796,0.039975478,SPD (corrected)
9795,0.040141597,SPD (corrected)
9794,0.040314523,SPD (corrected)
9793,0.040494013,SPD (corrected)
9792,0.040679835,SPD (corrected)
9791,0.040871772,SPD (corrected)
9790,0.041069623,SPD (corrected)
9789,0.041275036,SPD (corrected)
9788,0.041488037,SPD (corrected)
9787,0.041708672,SPD (corrected)
9786,0.04193701,SPD (corrected)
9785,0.042173136,SPD (corrected)
9784,0.04241771,SPD (corrected)
9783,0.042670943,SPD (corrected)
9782,0.042933044,SPD (corrected)
9781,0.043204543,SPD (corrected)
9780,0.043485168,SPD (corrected)
9779,0.043769964,SPD (corrected)
9778,0.044058991,SPD (corrected)
9777,0.044352308,SPD (corrected)
9776,0.044649977,SPD (corrected)
9775,0.04495206,SPD (corrected)
9774,0.045256689,SPD (corrected)
9773,0.045563839,SPD (corrected)
9772,0.045873488,SPD (corrected)
9771,0.04618561,SPD (corrected)
9770,0.046499876,SPD (corrected)
9769,0.046817038,SPD (corrected)
9768,0.047137048,SPD (corrected)
9767,0.047459861,SPD (corrected)
9766,0.047785431,SPD (corrected)
9765,0.048113709,SPD (corrected)
9764,0.048449679,SPD (corrected)
9763,0.048793411,SPD (corrected)
9762,0.049144972,SPD (corrected)
9761,0.049504435,SPD (corrected)
9760,0.049871871,SPD (corrected)
9759,0.050250245,SPD (corrected)
9758,0.050639698,SPD (corrected)
9757,0.051040356,SPD (corrected)
9756,0.051452335,SPD (corrected)
9755,0.051875738,SPD (corrected)
9754,0.052302648,SPD (corrected)
9753,0.052733066,SPD (corrected)
9752,0.053166989,SPD (corrected)
9751,0.053604415,SPD (corrected)
9750,0.054045343,SPD (corrected)
9749,0.054479504,SPD (corrected)
9748,0.054906907,SPD (corrected)
9747,0.055327565,SPD (corrected)
9746,0.055741501,SPD (corrected)
9745,0.056148741,SPD (corrected)
9744,0.056547528,SPD (corrected)
9743,0.056937954,SPD (corrected)
9742,0.057320117,SPD (corrected)
9741,0.057694113,SPD (corrected)
9740,0.058060042,SPD (corrected)
9739,0.058423163,SPD (corrected)
9738,0.058783455,SPD (corrected)
9737,0.059140893,SPD (corrected)
9736,0.059495453,SPD (corrected)
9735,0.05984711,SPD (corrected)
9734,0.060201885,SPD (corrected)
9733,0.060559777,SPD (corrected)
9732,0.060920787,SPD (corrected)
9731,0.061284913,SPD (corrected)
9730,0.061652154,SPD (corrected)
9729,0.062025799,SPD (corrected)
9728,0.062405925,SPD (corrected)
9727,0.062792613,SPD (corrected)
9726,0.063185945,SPD (corrected)
9725,0.063586001,SPD (corrected)
9724,0.063988423,SPD (corrected)
9723,0.064393196,SPD (corrected)
9722,0.064800306,SPD (corrected)
9721,0.065209736,SPD (corrected)
9720,0.065621469,SPD (corrected)
9719,0.066027519,SPD (corrected)
9718,0.066427889,SPD (corrected)
9717,0.066822583,SPD (corrected)
9716,0.067211608,SPD (corrected)
9715,0.067594973,SPD (corrected)
9714,0.067974837,SPD (corrected)
9713,0.068351205,SPD (corrected)
9712,0.068724079,SPD (corrected)
9711,0.069093464,SPD (corrected)
9710,0.069459363,SPD (corrected)
9709,0.069831395,SPD (corrected)
9708,0.070209647,SPD (corrected)
9707,0.07059421,SPD (corrected)
9706,0.070985174,SPD (corrected)
9705,0.071382634,SPD (corrected)
9704,0.071792362,SPD (corrected)
9703,0.072214546,SPD (corrected)
9702,0.072649364,SPD (corrected)
9701,0.073096987,SPD (corrected)
9700,0.07355757,SPD (corrected)
9699,0.074029669,SPD (corrected)
9698,0.074513329,SPD (corrected)
9697,0.075008575,SPD (corrected)
9696,0.075515412,SPD (corrected)
9695,0.076033819,SPD (corrected)
9694,0.076558338,SPD (corrected)
9693,0.077088975,SPD (corrected)
9692,0.077625734,SPD (corrected)
9691,0.078168616,SPD (corrected)
9690,0.078717615,SPD (corrected)
9689,0.079267509,SPD (corrected)
9688,0.079818274,SPD (corrected)
9687,0.080369888,SPD (corrected)
9686,0.08092233,SPD (corrected)
9685,0.081475577,SPD (corrected)
9684,0.082022793,SPD (corrected)
9683,0.082563943,SPD (corrected)
9682,0.083098993,SPD (corrected)
9681,0.083627909,SPD (corrected)
9680,0.084150662,SPD (corrected)
9679,0.084663622,SPD (corrected)
9678,0.085166756,SPD (corrected)
9677,0.085660038,SPD (corrected)
9676,0.086143446,SPD (corrected)
9675,0.086616964,SPD (corrected)
9674,0.087073635,SPD (corrected)
9673,0.087513419,SPD (corrected)
9672,0.08793633,SPD (corrected)
9671,0.088342434,SPD (corrected)
9670,0.088731844,SPD (corrected)
9669,0.089109741,SPD (corrected)
9668,0.089476208,SPD (corrected)
9667,0.08983133,SPD (corrected)
9666,0.090175191,SPD (corrected)
9665,0.090507882,SPD (corrected)
9664,0.090847634,SPD (corrected)
9663,0.091194557,SPD (corrected)
9662,0.091548757,SPD (corrected)
9661,0.091910338,SPD (corrected)
9660,0.092279402,SPD (corrected)
9659,0.092673445,SPD (corrected)
9658,0.093093164,SPD (corrected)
9657,0.093539073,SPD (corrected)
9656,0.094011454,SPD (corrected)
9655,0.094510318,SPD (corrected)
9654,0.095048001,SPD (corrected)
9653,0.095623501,SPD (corrected)
9652,0.096234813,SPD (corrected)
9651,0.096878848,SPD (corrected)
9650,0.097551384,SPD (corrected)
9649,0.098253383,SPD (corrected)
9648,0.098973076,SPD (corrected)
9647,0.099696968,SPD (corrected)
9646,0.100410658,SPD (corrected)
9645,0.101100457,SPD (corrected)
9644,0.101746622,SPD (corrected)
9643,0.102334564,SPD (corrected)
9642,0.102855682,SPD (corrected)
9641,0.103309373,SPD (corrected)
9640,0.10370401,SPD (corrected)
9639,0.104059854,SPD (corrected)
9638,0.104403743,SPD (corrected)
9637,0.104764347,SPD (corrected)
9636,0.105164154,SPD (corrected)
9635,0.105612136,SPD (corrected)
9634,0.106092656,SPD (corrected)
9633,0.106585035,SPD (corrected)
9632,0.107063209,SPD (corrected)
9631,0.107502497,SPD (corrected)
9630,0.107885436,SPD (corrected)
9629,0.108220212,SPD (corrected)
9628,0.108506328,SPD (corrected)
9627,0.108747705,SPD (corrected)
9626,0.108951473,SPD (corrected)
9625,0.109127339,SPD (corrected)
9624,0.109291341,SPD (corrected)
9623,0.109446729,SPD (corrected)
9622,0.109596307,SPD (corrected)
9621,0.109743271,SPD (corrected)
9620,0.109890557,SPD (corrected)
9619,0.110037927,SPD (corrected)
9618,0.110185378,SPD (corrected)
9617,0.110332903,SPD (corrected)
9616,0.110480497,SPD (corrected)
9615,0.110628154,SPD (corrected)
9614,0.110773217,SPD (corrected)
9613,0.110917799,SPD (corrected)
9612,0.111063837,SPD (corrected)
9611,0.111213385,SPD (corrected)
9610,0.111368575,SPD (corrected)
9609,0.11152706,SPD (corrected)
9608,0.111690419,SPD (corrected)
9607,0.111859669,SPD (corrected)
9606,0.112036158,SPD (corrected)
9605,0.112221562,SPD (corrected)
9604,0.112407535,SPD (corrected)
9603,0.112593967,SPD (corrected)
9602,0.112780742,SPD (corrected)
9601,0.112967736,SPD (corrected)
9600,0.113154816,SPD (corrected)
9599,0.113330551,SPD (corrected)
9598,0.113495255,SPD (corrected)
9597,0.113649224,SPD (corrected)
9596,0.113792745,SPD (corrected)
9595,0.11392579,SPD (corrected)
9594,0.11403745,SPD (corrected)
9593,0.11412895,SPD (corrected)
9592,0.114201417,SPD (corrected)
9591,0.114256679,SPD (corrected)
9590,0.114296305,SPD (corrected)
9589,0.114321614,SPD (corrected)
9588,0.114335529,SPD (corrected)
9587,0.114340066,SPD (corrected)
9586,0.114337124,SPD (corrected)
9585,0.114328187,SPD (corrected)
9584,0.114314941,SPD (corrected)
9583,0.114298859,SPD (corrected)
9582,0.114280647,SPD (corrected)
9581,0.114260275,SPD (corrected)
9580,0.114238097,SPD (corrected)
9579,0.114220111,SPD (corrected)
9578,0.114205843,SPD (corrected)
9577,0.11419458,SPD (corrected)
9576,0.114185402,SPD (corrected)
9575,0.114177218,SPD (corrected)
9574,0.114172256,SPD (corrected)
9573,0.114169223,SPD (corrected)
9572,0.114167439,SPD (corrected)
9571,0.114165969,SPD (corrected)
9570,0.114164019,SPD (corrected)
9569,0.114161569,SPD (corrected)
9568,0.114157901,SPD (corrected)
9567,0.114152298,SPD (corrected)
9566,0.114144044,SPD (corrected)
9565,0.114132435,SPD (corrected)
9564,0.114110607,SPD (corrected)
9563,0.114078042,SPD (corrected)
9562,0.114034248,SPD (corrected)
9561,0.113978767,SPD (corrected)
9560,0.11391117,SPD (corrected)
9559,0.113828824,SPD (corrected)
9558,0.113731529,SPD (corrected)
9557,0.113619104,SPD (corrected)
9556,0.113491398,SPD (corrected)
9555,0.113348282,SPD (corrected)
9554,0.113198133,SPD (corrected)
9553,0.113040957,SPD (corrected)
9552,0.112876766,SPD (corrected)
9551,0.112705578,SPD (corrected)
9550,0.11252742,SPD (corrected)
9549,0.11235609,SPD (corrected)
9548,0.11219152,SPD (corrected)
9547,0.112033634,SPD (corrected)
9546,0.111882354,SPD (corrected)
9545,0.11173759,SPD (corrected)
9544,0.111601058,SPD (corrected)
9543,0.111472548,SPD (corrected)
9542,0.111351853,SPD (corrected)
9541,0.111238762,SPD (corrected)
9540,0.111133062,SPD (corrected)
9539,0.111027049,SPD (corrected)
9538,0.110920713,SPD (corrected)
9537,0.110814053,SPD (corrected)
9536,0.110706773,SPD (corrected)
9535,0.110599192,SPD (corrected)
9534,0.110481064,SPD (corrected)
9533,0.110352294,SPD (corrected)
9532,0.110212829,SPD (corrected)
9531,0.110062661,SPD (corrected)
9530,0.109901826,SPD (corrected)
9529,0.109724701,SPD (corrected)
9528,0.109531231,SPD (corrected)
9527,0.109321754,SPD (corrected)
9526,0.109096553,SPD (corrected)
9525,0.108856001,SPD (corrected)
9524,0.108606041,SPD (corrected)
9523,0.108347682,SPD (corrected)
9522,0.108081353,SPD (corrected)
9521,0.107808083,SPD (corrected)
9520,0.107528305,SPD (corrected)
9519,0.107250082,SPD (corrected)
9518,0.106973631,SPD (corrected)
9517,0.10669918,SPD (corrected)
9516,0.106426966,SPD (corrected)
9515,0.106157542,SPD (corrected)
9514,0.105890046,SPD (corrected)
9513,0.105624594,SPD (corrected)
9512,0.105361304,SPD (corrected)
9511,0.10510029,SPD (corrected)
9510,0.104841976,SPD (corrected)
9509,0.10457872,SPD (corrected)
9508,0.104311134,SPD (corrected)
9507,0.1040398,SPD (corrected)
9506,0.103765263,SPD (corrected)
9505,0.103488402,SPD (corrected)
9504,0.103206132,SPD (corrected)
9503,0.102918991,SPD (corrected)
9502,0.102627676,SPD (corrected)
9501,0.102333021,SPD (corrected)
9500,0.102035731,SPD (corrected)
9499,0.101737307,SPD (corrected)
9498,0.101438361,SPD (corrected)
9497,0.101139556,SPD (corrected)
9496,0.100841608,SPD (corrected)
9495,0.100545284,SPD (corrected)
9494,0.100245212,SPD (corrected)
9493,0.099941414,SPD (corrected)
9492,0.099633918,SPD (corrected)
9491,0.099322752,SPD (corrected)
9490,0.099007949,SPD (corrected)
9489,0.0986854,SPD (corrected)
9488,0.098355269,SPD (corrected)
9487,0.09801772,SPD (corrected)
9486,0.097672915,SPD (corrected)
9485,0.097321011,SPD (corrected)
9484,0.096967793,SPD (corrected)
9483,0.096613475,SPD (corrected)
9482,0.096258274,SPD (corrected)
9481,0.095902403,SPD (corrected)
9480,0.095546075,SPD (corrected)
9479,0.095196067,SPD (corrected)
9478,0.094852381,SPD (corrected)
9477,0.09451501,SPD (corrected)
9476,0.094183943,SPD (corrected)
9475,0.093859162,SPD (corrected)
9474,0.09355064,SPD (corrected)
9473,0.09325846,SPD (corrected)
9472,0.09298265,SPD (corrected)
9471,0.092723187,SPD (corrected)
9470,0.092479999,SPD (corrected)
9469,0.092243,SPD (corrected)
9468,0.092012121,SPD (corrected)
9467,0.091787289,SPD (corrected)
9466,0.091568429,SPD (corrected)
9465,0.091355467,SPD (corrected)
9464,0.091128744,SPD (corrected)
9463,0.090888536,SPD (corrected)
9462,0.09063514,SPD (corrected)
9461,0.090368873,SPD (corrected)
9460,0.090090182,SPD (corrected)
9459,0.089781793,SPD (corrected)
9458,0.089443336,SPD (corrected)
9457,0.089074631,SPD (corrected)
9456,0.088675449,SPD (corrected)
9455,0.088246422,SPD (corrected)
9454,0.087778346,SPD (corrected)
9453,0.087272474,SPD (corrected)
9452,0.086731037,SPD (corrected)
9451,0.086157028,SPD (corrected)
9450,0.08555515,SPD (corrected)
9449,0.084922061,SPD (corrected)
9448,0.084269547,SPD (corrected)
9447,0.083611092,SPD (corrected)
9446,0.082960783,SPD (corrected)
9445,0.082332638,SPD (corrected)
9444,0.081746706,SPD (corrected)
9443,0.081217144,SPD (corrected)
9442,0.080752849,SPD (corrected)
9441,0.080354596,SPD (corrected)
9440,0.080014383,SPD (corrected)
9439,0.079712854,SPD (corrected)
9438,0.079423778,SPD (corrected)
9437,0.079119127,SPD (corrected)
9436,0.078776925,SPD (corrected)
9435,0.078388408,SPD (corrected)
9434,0.0779667,SPD (corrected)
9433,0.077532153,SPD (corrected)
9432,0.077110384,SPD (corrected)
9431,0.076725656,SPD (corrected)
9430,0.076395171,SPD (corrected)
9429,0.076111133,SPD (corrected)
9428,0.075874132,SPD (corrected)
9427,0.075681049,SPD (corrected)
9426,0.075524985,SPD (corrected)
9425,0.07539681,SPD (corrected)
9424,0.075280912,SPD (corrected)
9423,0.07517426,SPD (corrected)
9422,0.075074224,SPD (corrected)
9421,0.074978375,SPD (corrected)
9420,0.074884552,SPD (corrected)
9419,0.074790951,SPD (corrected)
9418,0.074697857,SPD (corrected)
9417,0.074605552,SPD (corrected)
9416,0.074514316,SPD (corrected)
9415,0.074424429,SPD (corrected)
9414,0.074336938,SPD (corrected)
9413,0.074249945,SPD (corrected)
9412,0.074161723,SPD (corrected)
9411,0.074070427,SPD (corrected)
9410,0.073974045,SPD (corrected)
9409,0.073875414,SPD (corrected)
9408,0.073773118,SPD (corrected)
9407,0.073666289,SPD (corrected)
9406,0.073553735,SPD (corrected)
9405,0.073433934,SPD (corrected)
9404,0.073313492,SPD (corrected)
9403,0.073192528,SPD (corrected)
9402,0.07307117,SPD (corrected)
9401,0.072949552,SPD (corrected)
9400,0.072827813,SPD (corrected)
9399,0.072715865,SPD (corrected)
9398,0.072613415,SPD (corrected)
9397,0.072520177,SPD (corrected)
9396,0.072435872,SPD (corrected)
9395,0.072360523,SPD (corrected)
9394,0.072303343,SPD (corrected)
9393,0.072263061,SPD (corrected)
9392,0.072238491,SPD (corrected)
9391,0.072227462,SPD (corrected)
9390,0.072228655,SPD (corrected)
9389,0.072242689,SPD (corrected)
9388,0.072266622,SPD (corrected)
9387,0.072298584,SPD (corrected)
9386,0.072336702,SPD (corrected)
9385,0.072379493,SPD (corrected)
9384,0.072427324,SPD (corrected)
9383,0.072478837,SPD (corrected)
9382,0.072533426,SPD (corrected)
9381,0.072590884,SPD (corrected)
9380,0.07265138,SPD (corrected)
9379,0.072716497,SPD (corrected)
9378,0.072787094,SPD (corrected)
9377,0.072864261,SPD (corrected)
9376,0.072949278,SPD (corrected)
9375,0.073043585,SPD (corrected)
9374,0.073151378,SPD (corrected)
9373,0.073274098,SPD (corrected)
9372,0.073412514,SPD (corrected)
9371,0.073567559,SPD (corrected)
9370,0.073740232,SPD (corrected)
9369,0.073928014,SPD (corrected)
9368,0.07413102,SPD (corrected)
9367,0.074349275,SPD (corrected)
9366,0.07458272,SPD (corrected)
9365,0.074831215,SPD (corrected)
9364,0.07509277,SPD (corrected)
9363,0.075367125,SPD (corrected)
9362,0.075653972,SPD (corrected)
9361,0.075952964,SPD (corrected)
9360,0.076263716,SPD (corrected)
9359,0.076583087,SPD (corrected)
9358,0.076911052,SPD (corrected)
9357,0.077247566,SPD (corrected)
9356,0.077592571,SPD (corrected)
9355,0.077945993,SPD (corrected)
9354,0.078307174,SPD (corrected)
9353,0.078676082,SPD (corrected)
9352,0.079052678,SPD (corrected)
9351,0.079436618,SPD (corrected)
9350,0.079828159,SPD (corrected)
9349,0.080222657,SPD (corrected)
9348,0.080620146,SPD (corrected)
9347,0.081020658,SPD (corrected)
9346,0.081424229,SPD (corrected)
9345,0.08183089,SPD (corrected)
9344,0.082240714,SPD (corrected)
9343,0.082653711,SPD (corrected)
9342,0.083069888,SPD (corrected)
9341,0.083489247,SPD (corrected)
9340,0.083911791,SPD (corrected)
9339,0.084336116,SPD (corrected)
9338,0.084762167,SPD (corrected)
9337,0.085189885,SPD (corrected)
9336,0.085619497,SPD (corrected)
9335,0.086050634,SPD (corrected)
9334,0.086486937,SPD (corrected)
9333,0.086928463,SPD (corrected)
9332,0.087375224,SPD (corrected)
9331,0.087827191,SPD (corrected)
9330,0.088284294,SPD (corrected)
9329,0.088748553,SPD (corrected)
9328,0.089219831,SPD (corrected)
9327,0.089697609,SPD (corrected)
9326,0.090181417,SPD (corrected)
9325,0.090670701,SPD (corrected)
9324,0.091162924,SPD (corrected)
9323,0.091656988,SPD (corrected)
9322,0.092152362,SPD (corrected)
9321,0.092647935,SPD (corrected)
9320,0.093143177,SPD (corrected)
9319,0.093639745,SPD (corrected)
9318,0.094137298,SPD (corrected)
9317,0.094635485,SPD (corrected)
9316,0.095133943,SPD (corrected)
9315,0.095631994,SPD (corrected)
9314,0.096130942,SPD (corrected)
9313,0.096630649,SPD (corrected)
9312,0.097130981,SPD (corrected)
9311,0.097631803,SPD (corrected)
9310,0.098132682,SPD (corrected)
9309,0.098636152,SPD (corrected)
9308,0.099141349,SPD (corrected)
9307,0.099647438,SPD (corrected)
9306,0.100153613,SPD (corrected)
9305,0.100658743,SPD (corrected)
9304,0.101169691,SPD (corrected)
9303,0.101685511,SPD (corrected)
9302,0.10220507,SPD (corrected)
9301,0.102727066,SPD (corrected)
9300,0.103250296,SPD (corrected)
9299,0.103775215,SPD (corrected)
9298,0.104300273,SPD (corrected)
9297,0.104823823,SPD (corrected)
9296,0.105344126,SPD (corrected)
9295,0.105859364,SPD (corrected)
9294,0.106374597,SPD (corrected)
9293,0.106889323,SPD (corrected)
9292,0.107403044,SPD (corrected)
9291,0.107915262,SPD (corrected)
9290,0.108425489,SPD (corrected)
9289,0.108940997,SPD (corrected)
9288,0.109461581,SPD (corrected)
9287,0.109987033,SPD (corrected)
9286,0.110517151,SPD (corrected)
9285,0.111051734,SPD (corrected)
9284,0.111589992,SPD (corrected)
9283,0.112130399,SPD (corrected)
9282,0.11267141,SPD (corrected)
9281,0.113211475,SPD (corrected)
9280,0.113749048,SPD (corrected)
9279,0.114271451,SPD (corrected)
9278,0.114777155,SPD (corrected)
9277,0.115264863,SPD (corrected)
9276,0.115733509,SPD (corrected)
9275,0.116182254,SPD (corrected)
9274,0.116606777,SPD (corrected)
9273,0.117007215,SPD (corrected)
9272,0.117383223,SPD (corrected)
9271,0.1177349,SPD (corrected)
9270,0.118062475,SPD (corrected)
9269,0.118378538,SPD (corrected)
9268,0.118682972,SPD (corrected)
9267,0.118975712,SPD (corrected)
9266,0.11925674,SPD (corrected)
9265,0.119526085,SPD (corrected)
9264,0.119796106,SPD (corrected)
9263,0.12006644,SPD (corrected)
9262,0.120336707,SPD (corrected)
9261,0.120606511,SPD (corrected)
9260,0.120875332,SPD (corrected)
9259,0.121150751,SPD (corrected)
9258,0.121432459,SPD (corrected)
9257,0.121720138,SPD (corrected)
9256,0.122013742,SPD (corrected)
9255,0.122312637,SPD (corrected)
9254,0.122622332,SPD (corrected)
9253,0.122942738,SPD (corrected)
9252,0.123273761,SPD (corrected)
9251,0.123615597,SPD (corrected)
9250,0.123967842,SPD (corrected)
9249,0.124338968,SPD (corrected)
9248,0.124729221,SPD (corrected)
9247,0.125138819,SPD (corrected)
9246,0.125568222,SPD (corrected)
9245,0.126016998,SPD (corrected)
9244,0.126487904,SPD (corrected)
9243,0.126980581,SPD (corrected)
9242,0.127493885,SPD (corrected)
9241,0.128026756,SPD (corrected)
9240,0.128577925,SPD (corrected)
9239,0.129144195,SPD (corrected)
9238,0.129724701,SPD (corrected)
9237,0.130318444,SPD (corrected)
9236,0.130924295,SPD (corrected)
9235,0.131540999,SPD (corrected)
9234,0.132167473,SPD (corrected)
9233,0.13280157,SPD (corrected)
9232,0.133441104,SPD (corrected)
9231,0.134083874,SPD (corrected)
9230,0.134727687,SPD (corrected)
9229,0.135372563,SPD (corrected)
9228,0.136014281,SPD (corrected)
9227,0.13664804,SPD (corrected)
9226,0.137269776,SPD (corrected)
9225,0.137875353,SPD (corrected)
9224,0.138460978,SPD (corrected)
9223,0.139024565,SPD (corrected)
9222,0.1395641,SPD (corrected)
9221,0.140077929,SPD (corrected)
9220,0.140564454,SPD (corrected)
9219,0.141046667,SPD (corrected)
9218,0.141524228,SPD (corrected)
9217,0.1419968,SPD (corrected)
9216,0.142464051,SPD (corrected)
9215,0.142925651,SPD (corrected)
9214,0.14339196,SPD (corrected)
9213,0.143862657,SPD (corrected)
9212,0.144337415,SPD (corrected)
9211,0.144815902,SPD (corrected)
9210,0.145297874,SPD (corrected)
9209,0.145786001,SPD (corrected)
9208,0.146279944,SPD (corrected)
9207,0.146779345,SPD (corrected)
9206,0.147283828,SPD (corrected)
9205,0.147792997,SPD (corrected)
9204,0.148302422,SPD (corrected)
9203,0.148811945,SPD (corrected)
9202,0.149321407,SPD (corrected)
9201,0.149830644,SPD (corrected)
9200,0.150339488,SPD (corrected)
9199,0.15084188,SPD (corrected)
9198,0.151337661,SPD (corrected)
9197,0.151826677,SPD (corrected)
9196,0.152308777,SPD (corrected)
9195,0.152783809,SPD (corrected)
9194,0.153242034,SPD (corrected)
9193,0.153682975,SPD (corrected)
9192,0.154106212,SPD (corrected)
9191,0.154511662,SPD (corrected)
9190,0.154898703,SPD (corrected)
9189,0.155255463,SPD (corrected)
9188,0.155580801,SPD (corrected)
9187,0.155873656,SPD (corrected)
9186,0.156133335,SPD (corrected)
9185,0.156359416,SPD (corrected)
9184,0.156555184,SPD (corrected)
9183,0.156721003,SPD (corrected)
9182,0.156857307,SPD (corrected)
9181,0.156964886,SPD (corrected)
9180,0.157043933,SPD (corrected)
9179,0.157101877,SPD (corrected)
9178,0.157138348,SPD (corrected)
9177,0.15715299,SPD (corrected)
9176,0.157145463,SPD (corrected)
9175,0.157115452,SPD (corrected)
9174,0.157068665,SPD (corrected)
9173,0.157004927,SPD (corrected)
9172,0.156924133,SPD (corrected)
9171,0.156826263,SPD (corrected)
9170,0.156711379,SPD (corrected)
9169,0.156584285,SPD (corrected)
9168,0.156445619,SPD (corrected)
9167,0.156296109,SPD (corrected)
9166,0.156136561,SPD (corrected)
9165,0.155967852,SPD (corrected)
9164,0.155794107,SPD (corrected)
9163,0.155616048,SPD (corrected)
9162,0.155434413,SPD (corrected)
9161,0.155249949,SPD (corrected)
9160,0.155063407,SPD (corrected)
9159,0.154887657,SPD (corrected)
9158,0.154723444,SPD (corrected)
9157,0.154570924,SPD (corrected)
9156,0.154430242,SPD (corrected)
9155,0.15430144,SPD (corrected)
9154,0.154190264,SPD (corrected)
9153,0.154096884,SPD (corrected)
9152,0.154021259,SPD (corrected)
9151,0.153963407,SPD (corrected)
9150,0.153922517,SPD (corrected)
9149,0.153898191,SPD (corrected)
9148,0.153889567,SPD (corrected)
9147,0.15389559,SPD (corrected)
9146,0.153915019,SPD (corrected)
9145,0.153946439,SPD (corrected)
9144,0.153983705,SPD (corrected)
9143,0.154026756,SPD (corrected)
9142,0.154075516,SPD (corrected)
9141,0.154129891,SPD (corrected)
9140,0.154189767,SPD (corrected)
9139,0.154245774,SPD (corrected)
9138,0.154297101,SPD (corrected)
9137,0.15434296,SPD (corrected)
9136,0.154382589,SPD (corrected)
9135,0.154415262,SPD (corrected)
9134,0.154425556,SPD (corrected)
9133,0.154411206,SPD (corrected)
9132,0.154370546,SPD (corrected)
9131,0.154302511,SPD (corrected)
9130,0.154206628,SPD (corrected)
9129,0.154074754,SPD (corrected)
9128,0.153907807,SPD (corrected)
9127,0.153707655,SPD (corrected)
9126,0.153477437,SPD (corrected)
9125,0.153220278,SPD (corrected)
9124,0.152945878,SPD (corrected)
9123,0.152656696,SPD (corrected)
9122,0.152355179,SPD (corrected)
9121,0.152043708,SPD (corrected)
9120,0.15172462,SPD (corrected)
9119,0.151400344,SPD (corrected)
9118,0.151071978,SPD (corrected)
9117,0.150740553,SPD (corrected)
9116,0.150407025,SPD (corrected)
9115,0.150072278,SPD (corrected)
9114,0.149733548,SPD (corrected)
9113,0.149392107,SPD (corrected)
9112,0.14904901,SPD (corrected)
9111,0.14870512,SPD (corrected)
9110,0.148361119,SPD (corrected)
9109,0.148014209,SPD (corrected)
9108,0.147664646,SPD (corrected)
9107,0.14731325,SPD (corrected)
9106,0.146960283,SPD (corrected)
9105,0.146606029,SPD (corrected)
9104,0.146241371,SPD (corrected)
9103,0.145866561,SPD (corrected)
9102,0.145482033,SPD (corrected)
9101,0.145087963,SPD (corrected)
9100,0.144685001,SPD (corrected)
9099,0.144273279,SPD (corrected)
9098,0.143853509,SPD (corrected)
9097,0.143427049,SPD (corrected)
9096,0.142995021,SPD (corrected)
9095,0.14255907,SPD (corrected)
9094,0.14212453,SPD (corrected)
9093,0.141692545,SPD (corrected)
9092,0.141264447,SPD (corrected)
9091,0.140841409,SPD (corrected)
9090,0.140424979,SPD (corrected)
9089,0.140014748,SPD (corrected)
9088,0.139611385,SPD (corrected)
9087,0.139215628,SPD (corrected)
9086,0.138828581,SPD (corrected)
9085,0.138450878,SPD (corrected)
9084,0.138083762,SPD (corrected)
9083,0.137729076,SPD (corrected)
9082,0.137388838,SPD (corrected)
9081,0.137065184,SPD (corrected)
9080,0.136760579,SPD (corrected)
9079,0.136482634,SPD (corrected)
9078,0.136233365,SPD (corrected)
9077,0.136014733,SPD (corrected)
9076,0.135828495,SPD (corrected)
9075,0.135676211,SPD (corrected)
9074,0.135555177,SPD (corrected)
9073,0.135465552,SPD (corrected)
9072,0.135407975,SPD (corrected)
9071,0.135382661,SPD (corrected)
9070,0.135389703,SPD (corrected)
9069,0.135414873,SPD (corrected)
9068,0.135458285,SPD (corrected)
9067,0.135520006,SPD (corrected)
9066,0.135600052,SPD (corrected)
9065,0.135698396,SPD (corrected)
9064,0.13579262,SPD (corrected)
9063,0.135882886,SPD (corrected)
9062,0.135969357,SPD (corrected)
9061,0.136052197,SPD (corrected)
9060,0.136131568,SPD (corrected)
9059,0.13620015,SPD (corrected)
9058,0.136258172,SPD (corrected)
9057,0.136305861,SPD (corrected)
9056,0.136343437,SPD (corrected)
9055,0.13637112,SPD (corrected)
9054,0.136389169,SPD (corrected)
9053,0.136397413,SPD (corrected)
9052,0.136395688,SPD (corrected)
9051,0.136383833,SPD (corrected)
