Ecozone,Admn.County,Muncipality,Muncipality_nr,Farmstead,Gnr,Bnr,AskeladdenID,UiB.nr,Site type,SiteID,Site name,Anthropogenic_C14,Uncal.C14Age,C14SD,C14LabCode,Cal.BP_oldest,Cal.BP_median,Cal.BP_youngest,Early Mesolithic,Middle Mesolithic,Late Mesolithic,Early Neolithic,Middle Neolithic (A),Middle Neolithic (B),Late Neolithic,Site size (m2),Elevation (Max),Elevation (Mean),Elevation (Median),Elevation (Min),Elevation (stdev),Conventional date,Conventional date based on Cal.BP (median),X (UTM32N),Y (UTM32N),Site_ID,Reference
Outer coast,Hordaland,Bergen,4601,N/A,N/A,N/A,175012,N/A,Open air,S316,Sotrasambandet lok 13 Søre Bildøy,Y,6030,30,Beta-477301,6956,6872,6786,0,0,1,0,0,0,0,1200,17.4,11.9,11.8,8.1,2.9,Late Mesolithic,Late Mesolithic,284895.6883,6697070.755,284895.68836697070.755,
Outer coast,Hordaland,Bergen,4601,N/A,N/A,N/A,175012,N/A,Open air,S316,Sotrasambandet lok 13 Søre Bildøy,Y,6010,30,Beta-477304,6943,6849,6781,0,0,1,0,0,0,0,1200,17.4,11.9,11.8,8.1,2.9,Late Mesolithic,Late Mesolithic,284895.6883,6697070.755,284895.68836697070.755,
Outer coast,Hordaland,Bømlo,4613,N/A,44,5. 20. 28. 34,174289,B17308,Open air,S152,Tjong-Løvegapet,Y,6490,30,Beta-398706,7432,7372,7323,0,0,1,0,0,0,0,4445,14.7,12.2,13.2,8,2.3,Late Mesolithic,Late Mesolithic,285084.2038,6616684.694,285084.20386616684.694,
Fjords,Hordaland,Alver,4631,Flatøy,1,234. 342,107943,B14751,Open air,S354,Flatøy - Krossnes 2. 3 og 6,Y,5300,85,Beta-41719,6224,6087,5920,0,0,1,0,0,0,0,289,16,15.2,15.4,14.3,0.7,Late Mesolithic,Late Mesolithic,294684.5473,6716317.568,294684.54736716317.568,
Fjords,Sogn og Fjordane,N/A,N/A,N/A,N/A,N/A,25845,N/A,Open air,S378,Ausevik,Y,5990,30,Beta-337054,6903,6827,6740,0,0,0,0,0,0,0,2134,17.9,13.2,12.9,10.4,2.1,Early/Middle Neolithic,N/A,302100.6261,6828746.682,302100.62616828746.682,
Fjords,Hordaland,Vaksdal,4628,Straume,49,4. 70,15917,B8600,Rock shelter,S350,Skipshelleren Straume - Fetts fk. 1,Y,4400,80,T-1961,5147,5018,4845,0,0,0,0,1,0,0,N/A,16.6,15,15.7,12.8,1.6,Early/Middle Neolithic,Early/Middle Neolithic,324940.5808,6728568.175,324940.58086728568.175,
Fjords,Hordaland,Vaksdal,4628,Straume,49,4. 70,15917,B8600,Rock shelter,S350,Skipshelleren Straume - Fetts fk. 1,Y,6275,50,TUa-5858,7311,7203,7153,0,0,1,0,0,0,0,260,16.6,15,15.7,12.8,1.6,Late Mesolithic,Late Mesolithic,324940.5808,6728568.175,324940.58086728568.175,
Outer coast,Hordaland,Øygarden,4626,Bjorøy,50,7. 673,95608,B14574,Open air,S643,Bjorøy - Lok. 7. Nilsvikdalen,Y,7550,50,Beta-285775,8424,8362,8284,0,0,1,0,0,0,0,581,14.4,13.1,13.5,11.5,1.2,Late Mesolithic,Late Mesolithic,288997.0363,6694588.75,288997.03636694588.75,
Outer coast,Hordaland,Øygarden,4626,Bjorøy,50,7. 673,95608,B14574,Open air,S643,Bjorøy - Lok. 7. Nilsvikdalen,Y,6240,40,Beta-285776,7258,7161,7152,0,0,1,0,0,0,0,581,14.4,13.1,13.5,11.5,1.2,Late Mesolithic,Late Mesolithic,288997.0363,6694588.75,288997.03636694588.75,
Outer coast,Hordaland,Bømlo,4613,N/A,44,5. 20. 28. 34,174289,B17308,Open air,S152,Tjong-Løvegapet,Y,6950,30,Beta-398709,7849,7772,7686,0,0,1,0,0,0,0,4445,14.7,12.2,13.2,8,2.3,Late Mesolithic,Late Mesolithic,285084.2038,6616684.694,285084.20386616684.694,
Outer coast,Hordaland,Bergen,4601,N/A,N/A,N/A,138737,N/A,Open air,S988,Haakonshella - Lokalitet 1,Y,7080,20,TRa-14864,7904,7893,7849,0,0,1,0,0,0,0,1400,17.3,15.4,15.4,12.1,1.6,Late Mesolithic,Late Mesolithic,289973.5272,6696418.933,289973.52726696418.933,
Outer coast,Hordaland,Bergen,4601,N/A,N/A,N/A,138737,N/A,Open air,S988,Haakonshella - Lokalitet 1,Y,7065,20,TRa-14863,7958,7890,7841,0,0,1,0,0,0,0,1400,17.3,15.4,15.4,12.1,1.6,Late Mesolithic,Late Mesolithic,289973.5272,6696418.933,289973.52726696418.933,
Outer coast,Hordaland,Bergen,4601,N/A,N/A,N/A,138737,N/A,Open air,S988,Haakonshella - Lokalitet 1,Y,6915,25,TRa-14862,7793,7735,7677,0,0,1,0,0,0,0,1400,17.3,15.4,15.4,12.1,1.6,Late Mesolithic,Late Mesolithic,289973.5272,6696418.933,289973.52726696418.933,
Outer coast,Hordaland,Bømlo,4613,N/A,44,5. 20. 28. 34,174289,B17308,Open air,S152,Tjong-Løvegapet,Y,6140,30,Beta-398713,7159,7038,6946,0,0,1,0,0,0,0,4445,14.7,12.2,13.2,8,2.3,Late Mesolithic,Late Mesolithic,285084.2038,6616684.694,285084.20386616684.694,
Outer coast,Hordaland,Bømlo,4613,N/A,44,5. 20. 28. 34,174289,B17308,Open air,S152,Tjong-Løvegapet,Y,6360,30,Beta-396831,7332,7283,7246,0,0,1,0,0,0,0,4445,14.7,12.2,13.2,8,2.3,Late Mesolithic,Late Mesolithic,285084.2038,6616684.694,285084.20386616684.694,
Mainland,Hordaland,Askøy,4627,Follese,12,389. 1742,109879,B17085,Open air,S595,Follese - Lok. 1. Haugadalen,Y,6670,40,Beta-364584,7610,7534,7470,0,0,1,0,0,0,0,1000,16.9,13.7,13.7,11.4,1.7,Late Mesolithic,Late Mesolithic,288106.9247,6703728.046,288106.92476703728.046,
Outer coast,Hordaland,Bergen,4601,N/A,N/A,N/A,175012,N/A,Open air,S316,Sotrasambandet lok 13 Søre Bildøy,Y,4410,40,Poz-96369,5059,4990,4861,0,0,0,0,1,0,0,1200,17.4,11.9,11.8,8.1,2.9,Early/Middle Neolithic,Early/Middle Neolithic,284895.6883,6697070.755,284895.68836697070.755,
Outer coast,Hordaland,Øygarden,4626,N/A,34,2,175003,B17616/ B18057,Open air,S318,Sotrasambandet lok 3 Søre Bildøy,Y,6130,40,Poz-106881,7159,7017,6901,0,0,1,0,0,0,0,234,13.8,13.4,13.8,12.6,0.6,Late Mesolithic,Late Mesolithic,284958.6406,6697160.238,284958.64066697160.238,
Outer coast,Hordaland,Øygarden,4626,N/A,34,2,175003,B17616/ B18057,Open air,S318,Sotrasambandet lok 3 Søre Bildøy,Y,6100,35,Poz-106879,7031,6968,6853,0,0,1,0,0,0,0,234,13.8,13.4,13.8,12.6,0.6,Late Mesolithic,Late Mesolithic,284958.6406,6697160.238,284958.64066697160.238,
Outer coast,Hordaland,Bømlo,4613,N/A,44,5. 20. 28. 34,174289,B17308,Open air,S152,Tjong-Løvegapet,Y,3020,30,Beta-398719,3272,3218,3143,0,0,0,0,0,0,1,4445,14.7,12.2,13.2,8,2.3,Late Neolithic/Early Bronze Age,N/A,285084.2038,6616684.694,285084.20386616684.694,
Outer coast,Hordaland,Bømlo,4613,N/A,44,5. 20. 28. 34,174289,B17308,Open air,S152,Tjong-Løvegapet,Y,7160,30,Beta-398711,8022,7978,7934,0,0,1,0,0,0,0,4445,14.7,12.2,13.2,8,2.3,Late Mesolithic,Late Mesolithic,285084.2038,6616684.694,285084.20386616684.694,
Mainland,Hordaland,Askøy,4627,Follese,12,389. 1742,109879,B17085,Open air,S595,Follese - Lok. 1. Haugadalen,Y,7150,0,Beta-364585,8010,7969,7939,0,0,1,0,0,0,0,1000,16.9,13.7,13.7,11.4,1.7,Late Mesolithic,Late Mesolithic,288106.9247,6703728.046,288106.92476703728.046,
Mainland,Hordaland,Askøy,4627,Follese,12,389. 1742,109879,B17085,Open air,S595,Follese - Lok. 1. Haugadalen,Y,7520,40,Beta-364583,8404,8343,8284,0,0,1,0,0,0,0,1000,16.9,13.7,13.7,11.4,1.7,Late Mesolithic,Late Mesolithic,288106.9247,6703728.046,288106.92476703728.046,
Outer coast,Hordaland,Alver,4631,N/A,N/A,N/A,244087,N/A,Open air,S949,Våge,Y,3620,30,Beta-415038,3989,3929,3840,0,0,0,0,0,0,1,N/A,41.1,40.2,40.3,39.5,0.5,Late Neolithic/Early Bronze Age,Late Neolithic,293557.8845,6737588.266,293557.88456737588.266,
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,239901,N/A,Open air,S975,Dyrkingsflate Homlung,Y,3520,30,Beta-497680,3880,3782,3698,0,0,0,0,0,0,1,438,54.4,53.7,53.7,53.2,0.4,Late Neolithic/Early Bronze Age,N/A,404886.2899,6887463.953,404886.28996887463.953,
Fjords,Sogn og Fjordane,N/A,N/A,N/A,N/A,N/A,117465,N/A,Rock art site,S383,Vingen Bak Vehammaren,Y,5830,35,Tua-7519,6740,6642,6540,0,0,0,0,0,0,0,3311,20.2,16,16.6,7.2,3,Early/Middle Neolithic,N/A,305873.5075,6860363.156,305873.50756860363.156,
Fjords,Sogn og Fjordane,N/A,N/A,N/A,N/A,N/A,115184,N/A,Open air,S384,Strømmen. gbnr 89/4,Y,4650,90,Beta-100197,5586,5383,5256,0,0,0,0,1,0,0,3200,10,6.6,6.4,2.9,1.7,Early/Middle Neolithic,N/A,307375.8705,6866510.502,307375.87056866510.502,
Outer coast,Hordaland,Bergen,4601,N/A,N/A,N/A,175012,N/A,Open air,S316,Sotrasambandet lok 13 Søre Bildøy,Y,5620,30,Beta-477303,6453,6392,6310,0,0,1,0,0,0,0,1200,17.4,11.9,11.8,8.1,2.9,Late Mesolithic,Late Mesolithic,284895.6883,6697070.755,284895.68836697070.755,
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,25903,B15856,Open air,S421,Synnaland I,Y,4340,115,T-15372,5307,4954,4785,0,0,0,0,1,0,0,29,22.4,19.6,18,15.7,2.9,Early/Middle Neolithic,Early/Middle Neolithic,368551.2552,6944176.549,368551.25526944176.549,
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,271119,N/A,Open air,S976,Lok 2 Klokkarhaugen,Y,3500,30,Beta-570421,3851,3767,3691,0,0,0,0,0,0,1,4228,22.8,19.9,20.6,11.7,2.4,Late Neolithic/Early Bronze Age,N/A,374633.5284,6919894.473,374633.52846919894.473,
Outer coast,Hordaland,Alver,4631,N/A,N/A,N/A,161080,N/A,Open air,S951,LOK 1. Keilen,Y,7060,40,Beta-324100,7969,7888,7824,0,0,1,0,0,0,0,N/A,13.8,13.6,13.6,13.5,0.2,Late Mesolithic,Late Mesolithic,282382.7034,6745246.023,282382.70346745246.023,
Fjords,Hordaland,Bergen,4601,N/A,N/A,N/A,136277,N/A,Open air,S307,Lok. 1 Søvikneset,Y,3565,30,Tra-1201,3930,3864,3822,0,0,0,0,0,0,1,4900,17.7,13.5,13.4,7.5,2,Late Neolithic/Early Bronze Age,Late Neolithic,295458.2861,6692557.552,295458.28616692557.552,
Outer coast,Hordaland,Bergen,4601,N/A,N/A,N/A,175012,N/A,Open air,S316,Sotrasambandet lok 13 Søre Bildøy,Y,4865,35,Poz-106707,5660,5595,5571,0,0,0,1,0,0,0,1200,17.4,11.9,11.8,8.1,2.9,Early/Middle Neolithic,Early/Middle Neolithic,284895.6883,6697070.755,284895.68836697070.755,
Outer coast,Hordaland,Bergen,4601,N/A,N/A,N/A,175012,N/A,Open air,S316,Sotrasambandet lok 13 Søre Bildøy,Y,5670,35,Poz-106799,6556,6448,6392,0,0,1,0,0,0,0,1200,17.4,11.9,11.8,8.1,2.9,Late Mesolithic,Late Mesolithic,284895.6883,6697070.755,284895.68836697070.755,
Outer coast,Hordaland,Sveio,4612,N/A,N/A,N/A,106016,N/A,Rock shelter,S989,Geitalemen. heller,Y,3835,35,Tua-6918,4360,4239,4147,0,0,0,0,0,0,1,60,16.1,10.2,11.9,7.3,4.4,Late Neolithic/Early Bronze Age,Late Neolithic,299758.2171,6612463.327,299758.21716612463.327,
Fjords,Sogn og Fjordane,N/A,N/A,N/A,N/A,N/A,169599,B14738,Open air,S388,Gloføyk lok. 27,Y,5340,70,Beta-88508,6283,6121,5990,0,0,0,0,0,0,0,200,24.2,19.4,18.6,16.1,3.3,Early/Middle Neolithic,N/A,303437.8639,6865720.298,303437.86396865720.298,
Outer coast,Hordaland,Øygarden,4626,N/A,N/A,N/A,175003,N/A,Open air,S318,Sotrasambandet lok 3 Søre Bildøy,Y,5550,40,Poz-106709,6405,6345,6284,0,0,1,0,0,0,0,234,13.8,13.4,13.8,12.6,0.6,Late Mesolithic,Late Mesolithic,284958.6406,6697160.238,284958.64066697160.238,
Outer coast,Hordaland,Bergen,4601,N/A,N/A,N/A,175012,N/A,Open air,S316,Sotrasambandet lok 13 Søre Bildøy,Y,5950,40,Poz-106797,6885,6776,6672,0,0,1,0,0,0,0,1200,17.4,11.9,11.8,8.1,2.9,Late Mesolithic,Late Mesolithic,284895.6883,6697070.755,284895.68836697070.755,
Outer coast,Hordaland,Bergen,4601,N/A,N/A,N/A,138737,N/A,Open air,S988,Haakonshella - Lokalitet 1,Y,7005,30,TRa-14867,7878,7843,7749,0,0,1,0,0,0,0,1400,17.3,15.4,15.4,12.1,1.6,Late Mesolithic,Late Mesolithic,289973.5272,6696418.933,289973.52726696418.933,
Outer coast,Hordaland,Bergen,4601,N/A,N/A,N/A,138737,N/A,Open air,S988,Haakonshella - Lokalitet 1,Y,7025,20,TRa-14866,7934,7865,7825,0,0,1,0,0,0,0,1400,17.3,15.4,15.4,12.1,1.6,Late Mesolithic,Late Mesolithic,289973.5272,6696418.933,289973.52726696418.933,
Outer coast,Hordaland,Bømlo,4613,N/A,44,5. 20. 28. 34,174289,B17308,Open air,S152,Tjong-Løvegapet,Y,9210,30,Beta-386061,10437,10362,10252,1,0,0,0,0,0,0,4445,14.7,12.2,13.2,8,2.3,Early Mesolithic,Early Mesolithic,285084.2038,6616684.694,285084.20386616684.694,
Outer coast,Hordaland,Bømlo,4613,N/A,44,5. 20. 28. 34,174289,B17308,Open air,S152,Tjong-Løvegapet,Y,6480,30,Beta-398716,7430,7370,7320,0,0,1,0,0,0,0,4445,14.7,12.2,13.2,8,2.3,Late Mesolithic,Late Mesolithic,285084.2038,6616684.694,285084.20386616684.694,
Outer coast,Hordaland,Bergen,4601,N/A,N/A,N/A,175012,N/A,Open air,S316,Sotrasambandet lok 13 Søre Bildøy,Y,5730,40,Poz-96630,6637,6525,6437,0,0,1,0,0,0,0,1200,17.4,11.9,11.8,8.1,2.9,Late Mesolithic,Late Mesolithic,284895.6883,6697070.755,284895.68836697070.755,
Outer coast,Hordaland,Bergen,4601,N/A,N/A,N/A,138737,N/A,Open air,S988,Haakonshella - Lokalitet 1,Y,7075,30,TRa-14865,7969,7894,7838,0,0,1,0,0,0,0,1400,17.3,15.4,15.4,12.1,1.6,Late Mesolithic,Late Mesolithic,289973.5272,6696418.933,289973.52726696418.933,
Fjords,Hordaland,Bergen,4601,N/A,N/A,N/A,136277,N/A,Open air,S307,Lok. 1 Søvikneset,Y,3505,25,Tra-1203,3847,3770,3693,0,0,0,0,0,0,1,4900,17.7,13.5,13.4,7.5,2,Late Neolithic/Early Bronze Age,N/A,295458.2861,6692557.552,295458.28616692557.552,
Outer coast,Hordaland,Bergen,4601,N/A,N/A,N/A,138737,N/A,Open air,S988,Haakonshella - Lokalitet 1,Y,6120,20,TRa-14852,7028,6990,6901,0,0,1,0,0,0,0,1400,17.3,15.4,15.4,12.1,1.6,Late Mesolithic,Late Mesolithic,289973.5272,6696418.933,289973.52726696418.933,
Outer coast,Hordaland,Bergen,4601,N/A,N/A,N/A,138737,N/A,Open air,S988,Haakonshella - Lokalitet 1,Y,7050,20,TRa-14851,7939,7888,7835,0,0,1,0,0,0,0,1400,17.3,15.4,15.4,12.1,1.6,Late Mesolithic,Late Mesolithic,289973.5272,6696418.933,289973.52726696418.933,
Outer coast,Hordaland,Bømlo,4613,N/A,44,5. 20. 28. 34,174289,B17308,Open air,S152,Tjong-Løvegapet,Y,3180,30,Beta-398721,3455,3404,3356,0,0,0,0,0,0,1,4445,14.7,12.2,13.2,8,2.3,Late Neolithic/Early Bronze Age,N/A,285084.2038,6616684.694,285084.20386616684.694,
Outer coast,Hordaland,Bergen,4601,N/A,N/A,N/A,138737,N/A,Open air,S988,Haakonshella - Lokalitet 1,Y,6990,30,TRa-14868,7874,7824,7727,0,0,1,0,0,0,0,1400,17.3,15.4,15.4,12.1,1.6,Late Mesolithic,Late Mesolithic,289973.5272,6696418.933,289973.52726696418.933,
Fjords,Hordaland,Alver,4631,Flatøy,1,234. 342,107943,B14751,Open air,S354,Flatøy - Krossnes 2. 3 og 6,Y,4850,140,Beta-41716,5915,5584,5304,0,0,0,1,0,0,0,289,16,15.2,15.4,14.3,0.7,Early/Middle Neolithic,Early/Middle Neolithic,294684.5473,6716317.568,294684.54736716317.568,
Fjords,Hordaland,Alver,4631,Flatøy,1,234. 342,107943,B14751,Open air,S354,Flatøy - Krossnes 2. 3 og 6,Y,5440,110,Beta-41715,6444,6220,5988,0,0,1,0,0,0,0,289,16,15.2,15.4,14.3,0.7,Late Mesolithic,Late Mesolithic,294684.5473,6716317.568,294684.54736716317.568,
Mainland,Hordaland,Voss,4621,N/A,N/A,N/A,108552,N/A,Open air,S918,Seim - Felt I. Vassendafloten (2002),Y,5250,40,Tua-4072,6119,6018,5924,0,0,1,0,0,0,0,N/A,38.3,35.8,35.6,34.2,0.9,Late Mesolithic,Late Mesolithic,373837.0465,6717351.549,373837.04656717351.549,
Mainland,Hordaland,Voss,4621,N/A,N/A,N/A,108555,N/A,Open air,S919,Seim - Felt IV. Borgje (2002),Y,3245,40,TUa-4073,3561,3457,3382,0,0,0,0,0,0,1,N/A,35.5,33.1,33.3,29.4,1.3,Late Neolithic/Early Bronze Age,N/A,373462.7765,6717406.924,373462.77656717406.924,
Outer coast,Hordaland,Øygarden,4626,N/A,N/A,N/A,94922,N/A,Open air,S948,Sture - Lok. 2 - Fjernet,Y,4250,100,T-6576,5053,4789,4518,0,0,0,0,0,0,1,N/A,20.8,15.4,14,12.3,3.4,Late Neolithic/Early Bronze Age,Early/Middle Neolithic,272883.8968,6727415.198,272883.89686727415.198,
Fjords,Hordaland,Bergen,4601,N/A,N/A,N/A,224929,N/A,Open air,S324,Fløen Lok. 1,Y,3030,30,Beta-454231,3348,3234,3149,0,0,0,0,0,0,1,N/A,24.8,20.4,20,18.5,1.6,Late Neolithic/Early Bronze Age,N/A,299175.1948,6699292.224,299175.19486699292.224,
Outer coast,Hordaland,Øygarden,4626,N/A,N/A,N/A,94922,N/A,Open air,S948,Sture - Lok. 2 - Fjernet,Y,5360,120,T-6571,6395,6134,5908,0,0,1,0,0,0,0,N/A,20.8,15.4,14,12.3,3.4,Late Mesolithic,Late Mesolithic,272883.8968,6727415.198,272883.89686727415.198,
Outer coast,Hordaland,Øygarden,4626,N/A,N/A,N/A,94922,N/A,Open air,S948,Sture - Lok. 2 - Fjernet,Y,4370,90,T-6569,5303,4987,4822,0,0,0,0,1,0,0,N/A,20.8,15.4,14,12.3,3.4,Early/Middle Neolithic,Early/Middle Neolithic,272883.8968,6727415.198,272883.89686727415.198,
Mainland,Hordaland,Voss,4621,N/A,N/A,N/A,110984,N/A,Open air,S920,Nyre - Lokalitet 6,Y,3440,70,Beta-222691,3877,3696,3549,0,0,0,0,0,0,1,N/A,133,130.9,130.9,129.7,1.2,Late Neolithic/Early Bronze Age,N/A,359668.225,6723384.311,359668.2256723384.311,
Fjords,Hordaland,Kvam,4622,N/A,N/A,N/A,128696,N/A,Open air,S916,Dyrkingsspor,Y,3635,35,Tra-46,4006,3948,3845,0,0,0,0,0,0,1,N/A,177.2,175.8,175.3,174.8,0.8,Late Neolithic/Early Bronze Age,Late Neolithic,346075.967,6700079.885,346075.9676700079.885,
Outer coast,Hordaland,Alver,4631,N/A,N/A,N/A,244087,N/A,Open air,S949,Våge,Y,3080,30,Beta-415043,3370,3290,3212,0,0,0,0,0,0,1,N/A,41.1,40.2,40.3,39.5,0.5,Late Neolithic/Early Bronze Age,N/A,293557.8845,6737588.266,293557.88456737588.266,
Mainland,Hordaland,Voss,4621,N/A,N/A,N/A,140026,N/A,Open air,S917,Hollve,Y,3250,30,Beta-324945,3513,3460,3390,0,0,0,0,0,0,1,N/A,31,29.1,29.2,27.1,1,Late Neolithic/Early Bronze Age,N/A,375237.245,6716530.561,375237.2456716530.561,
Outer coast,Hordaland,Bergen,4601,N/A,N/A,N/A,174637,N/A,Open air,S925,Hammarsland lok. 1,Y,3360,30,Beta-369327,3645,3591,3488,0,0,0,0,0,0,1,N/A,14.3,14.2,14.2,14,0.2,Late Neolithic/Early Bronze Age,N/A,293409.6578,6692250.083,293409.65786692250.083,
Mainland,Hordaland,Voss,4621,N/A,N/A,N/A,140026,N/A,Open air,S917,Hollve,Y,3030,30,Beta-324944,3348,3234,3149,0,0,0,0,0,0,1,N/A,31,29.1,29.2,27.1,1,Late Neolithic/Early Bronze Age,N/A,375237.245,6716530.561,375237.2456716530.561,
Mainland,Hordaland,Voss,4621,N/A,N/A,N/A,140026,N/A,Open air,S917,Hollve,Y,3480,30,Beta-324947,3837,3756,3687,0,0,0,0,0,0,1,N/A,31,29.1,29.2,27.1,1,Late Neolithic/Early Bronze Age,N/A,375237.245,6716530.561,375237.2456716530.561,
Mainland,Hordaland,Bergen,4601,N/A,N/A,N/A,94289,N/A,Open air,S923,Hatlestad - Lok. 2,Y,3420,30,Beta-315404,3724,3661,3571,0,0,0,0,0,0,1,N/A,67.2,65.9,66.7,63.1,1.7,Late Neolithic/Early Bronze Age,N/A,300359.726,6688929.304,300359.7266688929.304,
Outer coast,Hordaland,Bergen,4601,N/A,N/A,N/A,137394,N/A,Open air,S924,S?reide - lok 8,Y,3370,40,Beta-285805,3700,3603,3481,0,0,0,0,0,0,1,N/A,25.5,22.2,22.5,19.6,2,Late Neolithic/Early Bronze Age,N/A,294255.6796,6692332.801,294255.67966692332.801,
Outer coast,Hordaland,Øygarden,4626,N/A,N/A,N/A,174697,N/A,Open air,S929,Sotrasambandet lok 17 S?re Bild?y,Y,3590,30,Beta-372614,3980,3893,3830,0,0,0,0,0,0,1,N/A,16.2,15.8,15.9,15.5,0.4,Late Neolithic/Early Bronze Age,Late Neolithic,285644.2694,6697442.629,285644.26946697442.629,
Fjords,Hordaland,Bergen,4601,N/A,N/A,N/A,91312,N/A,Open air,S932,?rstad - Odontologen 1,Y,3210,30,Tua-5385,3468,3421,3371,0,0,0,0,0,0,1,N/A,56.2,56.2,56.2,56.2,0,Late Neolithic/Early Bronze Age,N/A,299282.49,6699549.86,299282.496699549.86,
Fjords,Hordaland,Bergen,4601,N/A,N/A,N/A,173582,N/A,Open air,S930,Seimsmyra lok 1,Y,3010,30,Beta-362324,3265,3203,3106,0,0,0,0,0,0,1,N/A,32.3,25.4,25.1,21.7,2.8,Late Neolithic/Early Bronze Age,N/A,305817.4975,6704402.396,305817.49756704402.396,
Fjords,Hordaland,Bergen,4601,N/A,N/A,N/A,129960,N/A,Open air,S931,?sheim lok. 1,Y,3410,35,Tra-34,3725,3649,3564,0,0,0,0,0,0,1,N/A,147.9,139.4,140.2,130,4.4,Late Neolithic/Early Bronze Age,N/A,305794.7851,6705476.924,305794.78516705476.924,
Fjords,Hordaland,Tysnes,4616,N/A,N/A,N/A,127832,N/A,Open air,S979,Bosetning-aktivitetsomr?de,Y,3030,40,Tua-8182,3357,3233,3142,0,0,0,0,0,0,1,N/A,34.7,31.5,31.5,29,1.4,Late Neolithic/Early Bronze Age,N/A,307309.5277,6661007.903,307309.52776661007.903,
Fjords,Hordaland,Bergen,4601,N/A,N/A,N/A,224929,N/A,Open air,S324,Fløen Lok. 1,Y,3060,30,Beta-454230,3361,3277,3206,0,0,0,0,0,0,1,N/A,24.8,20.4,20,18.5,1.6,Late Neolithic/Early Bronze Age,N/A,299175.1948,6699292.224,299175.19486699292.224,
Outer coast,Hordaland,Bergen,4601,N/A,N/A,N/A,114000,N/A,Open air,S926,Nordeide/S?reide - Fetts fk. 1/1. Ruskeneset,Y,3690,80,T-2883,4259,4032,3828,0,0,0,0,0,0,1,N/A,9.5,9.2,9.2,9,0.3,Late Neolithic/Early Bronze Age,Late Neolithic,294028.3433,6692965.447,294028.34336692965.447,
Fjords,Hordaland,Bergen,4601,N/A,N/A,N/A,140581,N/A,Open air,S934,Hylkjeneset lok 16,Y,3340,40,Beta-286534,3643,3559,3465,0,0,0,0,0,0,1,N/A,36.4,36.4,36.4,36.4,0,Late Neolithic/Early Bronze Age,N/A,300649.9344,6713420.72,300649.93446713420.72,
Outer coast,Hordaland,Alver,4631,N/A,N/A,N/A,244087,N/A,Open air,S949,Våge,Y,3520,30,Beta-415039,3880,3782,3698,0,0,0,0,0,0,1,N/A,41.1,40.2,40.3,39.5,0.5,Late Neolithic/Early Bronze Age,N/A,293557.8845,6737588.266,293557.88456737588.266,
Outer coast,Hordaland,Øygarden,4626,N/A,N/A,N/A,94922,N/A,Open air,S948,Sture - Lok. 2 - Fjernet,Y,3450,70,T-6574,3892,3710,3555,0,0,0,0,0,0,1,N/A,20.8,15.4,14,12.3,3.4,Late Neolithic/Early Bronze Age,N/A,272883.8968,6727415.198,272883.89686727415.198,
Mainland,Hordaland,Voss,4621,N/A,N/A,N/A,140026,N/A,Open air,S917,Hollve,Y,3360,30,Beta-324946,3645,3591,3488,0,0,0,0,0,0,1,N/A,31,29.1,29.2,27.1,1,Late Neolithic/Early Bronze Age,N/A,375237.245,6716530.561,375237.2456716530.561,
Mainland,Hordaland,Bergen,4601,N/A,N/A,N/A,160818,N/A,Open air,S922,R?,Y,3640,30,Beta-326903,4008,3953,3870,0,0,0,0,0,0,1,N/A,39.6,37.1,37.8,33.8,1.7,Late Neolithic/Early Bronze Age,Late Neolithic,296451.7251,6689556.961,296451.72516689556.961,
Mainland,Sogn og Fjordane,N/A,N/A,N/A,N/A,N/A,N/A,B14033,Open air,S601,Vikastølen lok. 33,Y,7930,120,T-4786,9032,8786,8450,0,0,1,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,Late Mesolithic,N/A,432217,6781423,4.32218E+12,https://www.unimus.no/felles/arkeologi/index_katalog.php?museum=um&museumsnr=B14033
Outer coast,Hordaland,Øygarden,4626,N/A,N/A,N/A,114632,N/A,Open air,S1009,Lok 8. Porsvika,Y,4420,30,Beta-366705,5055,5002,4870,0,0,0,0,0,1,0,670,17.7,13.8,14.4,10.5,2.4,Early/Middle Neolithic,Early/Middle Neolithic,281235.4453,6681417.499,281235.44536681417.499,
Outer coast,Hordaland,Øygarden,4626,N/A,34,193. 523,174695,B17624/ B17881,Open air,S321,Sotrasambandet lok 11 Søre Bildøy,Y,6050,35,Poz-106815,6994,6899,6791,0,0,1,0,0,0,0,875,14.7,12.7,12.6,10.8,1.2,Late Mesolithic,Late Mesolithic,285623.4832,6697561.85,285623.48326697561.85,
Outer coast,Hordaland,Øygarden,4626,N/A,N/A,N/A,114632,N/A,Open air,S1009,Lok 8. Porsvika,Y,4760,30,Beta-366163,5585,5524,5460,0,0,0,0,0,1,0,670,17.7,13.8,14.4,10.5,2.4,Early/Middle Neolithic,Early/Middle Neolithic,281235.4453,6681417.499,281235.44536681417.499,
