Ecozone,Admn.County,Muncipality,Muncipality_nr,Farmstead,Gnr,Bnr,AskeladdenID,UiB.nr,Site type,SiteID,Site name,Anthropogenic_C14,Uncal.C14Age,C14SD,C14LabCode,Cal.BP_oldest,Cal.BP_median,Cal.BP_youngest,Early Mesolithic,Middle Mesolithic,Late Mesolithic,Early Neolithic,Middle Neolithic (A),Middle Neolithic (B),Late Neolithic,Site size (m2),Elevation (Max),Elevation (Mean),Elevation (Median),Elevation (Min),Elevation (stdev),Conventional date,Conventional date based on Cal.BP (median),X (UTM32N),Y (UTM32N),Site_ID,Reference
Mainland,Hordaland,Voss,4621,N/A,N/A,N/A,159003,N/A,Open air,S921,Bavallsvegen. Lokalitet 1,Y,3290,40,Beta-279958,3590,3509,3442,0,0,0,0,0,0,1,10860,161.2,155.1,155.1,147.5,3.1,Late Neolithic/Early Bronze Age,N/A,359370.0265,6726312.357,359370.02656726312.357,
Outer coast,Sunnmøre,N/A,N/A,N/A,N/A,N/A,146851,B15677,Open air,S463,Hjellvik lok. 1,Y,6920,20,Beta-123829,7793,7737,7681,0,0,1,0,0,0,0,290,11.4,9,7.8,7.3,1.8,Late Mesolithic,Late Mesolithic,338756.3565,6905434.741,338756.35656905434.741,
Outer coast,Hordaland,Øygarden,4626,N/A,N/A,N/A,114561,N/A,Open air,S991,Glesnes - Lok. 6. Kvernavika,Y,3750,75,T-19500,4301,4116,3901,0,0,0,0,0,0,1,300,12.6,12.1,12.1,11.6,0.5,Late Neolithic/Early Bronze Age,Late Neolithic,281277.9055,6681889.442,281277.90556681889.442,
Fjords,Hordaland,Alver,4631,N/A,N/A,N/A,97666,N/A,Open air,S993,Isdal - Lok. 1. Hagelsund,Y,3540,70,T-3069,3991,3825,3636,0,0,0,0,0,0,1,N/A,14.2,11.3,11.1,10.6,1.5,Late Neolithic/Early Bronze Age,Late Neolithic,295838.5957,6717802.828,295838.59576717802.828,
Fjords,Hordaland,Alver,4631,N/A,N/A,N/A,97666,N/A,Open air,S993,Isdal - Lok. 1. Hagelsund,Y,5860,140,T-3068,7005,6680,6391,0,0,1,0,0,0,0,N/A,14.2,11.3,11.1,10.6,1.5,Late Mesolithic,Late Mesolithic,295838.5957,6717802.828,295838.59576717802.828,
Fjords,Hordaland,Alver,4631,N/A,N/A,N/A,97667,N/A,Open air,S994,Isdal - Lok. 2. Hagelsund,Y,3390,70,T-3071,3779,3630,3463,0,0,0,0,0,0,1,N/A,14.3,14,12.8,11,1.7,Late Neolithic/Early Bronze Age,N/A,295751.3744,6717771.714,295751.37446717771.714,
Outer coast,Hordaland,Austrheim,4632,N/A,N/A,N/A,N/A,B14189,Open air,S1908,Snekkevik lok. 1,Y,6920,90,T-8069,7935,7760,7605,0,0,1,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,Late Mesolithic,Late Mesolithic,278964,6741690,2.78965E+12,https://www.unimus.no/felles/arkeologi/index_katalog.php?museum=um&museumsnr=B14189
Outer coast,Hordaland,Austrheim,4632,N/A,N/A,N/A,N/A,B14189,Open air,S1908,Snekkevik lok. 1,Y,5780,120,T-7640,6805,6584,6309,0,0,1,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,Late Mesolithic,Late Mesolithic,278964,6741690,2.78965E+12,https://www.unimus.no/felles/arkeologi/index_katalog.php?museum=um&museumsnr=B14189
Fjords,Hordaland,Bergen,4601,N/A,N/A,N/A,231135,N/A,Open air,S1025,Steinalderlokalitet Garnesvegen,Y,4980,30,Beta-477513,5753,5693,5601,0,0,0,1,0,0,0,713,13.1,12.5,12.5,11.9,0.4,Early/Middle Neolithic,Early/Middle Neolithic,305901.4993,6706210.268,305901.49936706210.268,
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,146795,B16924,Open air,S280,Lok 1 Storehaugen,Y,6090,40,Beta-313462,7030,6954,6845,0,0,1,0,0,0,0,375,8.7,8,8,7.5,0.5,Late Mesolithic,Late Mesolithic,321017.4672,6902601.291,321017.46726902601.291,
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,148753,B16930,Open air,S279,Lok 7 Storehaugen,Y,6110,40,Beta-313465,7159,6984,6884,0,0,1,0,0,0,0,877,9.1,8.5,8.4,8.3,0.3,Late Mesolithic,Late Mesolithic,321144.9105,6902539.973,321144.91056902539.973,
Fjords,Hordaland,Bjørnafjorden,4624,Samnøy,111,1,90340,B15424,Rock shelter,S298,Samnøy - Øvste Dåvatræhelleren,Y,6920,70,Beta-103191,7870,7756,7655,0,0,1,0,0,0,0,7,26.7,25.1,23.8,23.3,1.5,Late Mesolithic,Late Mesolithic,313674.1826,6684763.168,313674.18266684763.168,
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,273019,N/A,Open air,S831,Kvasnes. Lok. 9,Y,4090,30,Beta-577912,4652,4592,4517,0,0,0,0,0,0,1,420,N/A,N/A,N/A,N/A,N/A,Late Neolithic/Early Bronze Age,Early/Middle Neolithic,363628.8625,6924759.081,363628.86256924759.081,
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,146800,B16926,Open air,S278,Lok 3 Storehaugen,Y,6170,40,Beta-313463,7166,7067,6946,0,0,1,0,0,0,0,1201,11.7,9,9.1,6.5,1.6,Late Mesolithic,Late Mesolithic,321280.2752,6902529.769,321280.27526902529.769,
Outer coast,Sunnmøre,N/A,N/A,N/A,N/A,N/A,112869,N/A,Open air,S984,Lokalitet 1,Y,4930,120,Beta-174971,5927,5681,5456,0,1,0,0,0,0,0,1618,13.1,11.5,11.6,9.6,0.8,Early/Middle Neolithic,Early/Middle Neolithic,363495.38,6926312.871,363495.386926312.871,
Fjords,Hordaland,Bjørnafjorden,4624,Samnøy,111,1,90340,B15424,Rock shelter,S298,Samnøy - Øvste Dåvatræhelleren,Y,7985,105,T-12984,9103,8838,8548,0,1,0,0,0,0,0,7,26.7,25.1,23.8,23.3,1.5,Middle Mesolithic,Middle Mesolithic,313674.1826,6684763.168,313674.18266684763.168,
Outer coast,Hordaland,Alver,4631,N/A,464,86,172350,B17989,Open air,S348,Snekkevika Lok 1,Y,5210,180,T-8070,6315,5983,5592,0,0,0,1,0,0,0,78,13.2,12.1,12.1,7.9,2.5,Early/Middle Neolithic,Early/Middle Neolithic,285773.1117,6731748.197,285773.11176731748.197,
Outer coast,Hordaland,Alver,4631,N/A,464,86,172350,B17989,Open air,S348,Snekkevika Lok 1,Y,4800,120,T-7643,5766,5520,5290,0,0,0,1,0,0,0,78,13.2,12.1,12.1,7.9,2.5,Early/Middle Neolithic,Early/Middle Neolithic,285773.1117,6731748.197,285773.11176731748.197,
Outer coast,Hordaland,Alver,4631,N/A,464,86,172350,B17989,Open air,S348,Snekkevika Lok 1,Y,5170,100,T-7644,6197,5933,5705,0,0,0,1,0,0,0,78,13.2,12.1,12.1,7.9,2.5,Early/Middle Neolithic,Early/Middle Neolithic,285773.1117,6731748.197,285773.11176731748.197,
Outer coast,Hordaland,Øygarden,4626,Harkestad,251,56. 115. 126. 127. 190. 218,111315,B16965/B16900,Open air,S343,Harkestad - Lokalitet 1,Y,6750,150,T-19308,7874,7616,7420,0,0,1,0,0,0,0,2200,15.4,11.7,11.7,10.2,1,Late Mesolithic,Late Mesolithic,272243.4166,6724200.894,272243.41666724200.894,
Fjords,Hordaland,Bjørnafjorden,4624,Samnøy,111,1,90340,B15424,Open air,S298,Samnøy - Øvste Dåvatræhelleren,Y,8600,85,T-12985,9815,9596,9451,0,1,0,0,0,0,0,64.28,26.7,25.1,23.8,23.3,1.5,Middle Mesolithic,Middle Mesolithic,313674.1826,6684763.168,313674.18266684763.168,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/90340-1
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,273018,N/A,Open air,S267,Kvasnes. Lok. 8,Y,7670,30,Beta-577913,8540,8449,8400,0,0,1,0,0,0,0,5613,N/A,N/A,N/A,N/A,N/A,Late Mesolithic,Late Mesolithic,363630.1312,6924701.662,363630.13126924701.662,
Outer coast,Sunnmøre,N/A,N/A,N/A,N/A,N/A,161126,B17051,Open air,S266,Sandvik bnr 3 lok 3,Y,7760,40,Beta-341120,8600,8531,8426,0,1,0,0,0,0,0,89,11.2,10.1,10.3,9.4,0.8,Middle Mesolithic,Middle Mesolithic,314591.2608,6897041.614,314591.26086897041.614,
Outer coast,Hordaland,Bømlo,4613,N/A,N/A,N/A,96502,N/A,Open air,S1021,Spissøy - Lok. 99. Litla Skiftesvika,Y,4150,50,Beta-93147,4831,4688,4567,0,0,0,0,0,0,1,172,16.5,16.3,16.3,16.1,0.2,Late Neolithic/Early Bronze Age,Early/Middle Neolithic,295680.8201,6627577.629,295680.82016627577.629,
Outer coast,Hordaland,Bømlo,4613,Espevær,46,1. 5,90573,B15967/ B14428/ B12106,Open air,S1018,Espev?r - Fetts fk. 7. Hespriholmen,Y,4620,110,T-3206,5586,5321,5028,0,0,0,0,1,0,0,6749.35,21.8,9.7,11.3,0,7.8,Early/Middle Neolithic,Early/Middle Neolithic,280686.0432,6614522.075,280686.04326614522.075,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/90573-1
Fjords,Hordaland,Bergen,4601,Lihaug. Nytun,301,12. 109,175024,N/A,Open air,S1030,Vårheia lok. 1,Y,8410,40,Beta-368833,9530,9447,9399,0,1,0,0,0,0,0,1225.86,52.8,47.8,49,41,4.1,Middle Mesolithic,Middle Mesolithic,305092.0792,6703484.228,305092.07926703484.228,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/175024-1
Outer coast,Hordaland,Øygarden,4626,Harkestad,251,56. 115. 126. 127. 190. 218,111315,B16965/ B16900,Open air,S343,Harkestad - Lokalitet 1,Y,6485,95,T-19309,7522,7385,7252,0,0,1,0,0,0,0,2200,15.4,11.7,11.7,10.2,1,Late Mesolithic,Late Mesolithic,272243.4166,6724200.894,272243.41666724200.894,
Fjords,Sunnmøre,N/A,N/A,N/A,N/A,N/A,148753,B16930,Open air,S279,Lok 7 Storehaugen,Y,6050,40,Beta-313464,7002,6895,6786,0,0,1,0,0,0,0,877,9.1,8.5,8.4,8.3,0.3,Late Mesolithic,Late Mesolithic,321144.9105,6902539.973,321144.91056902539.973,
Fjords,Sogn og Fjordane,N/A,N/A,N/A,N/A,N/A,162672,B14604,Open air,S399,17 Havnen,Y,6345,65,Beta-57829,7335,7269,7163,0,0,1,0,0,0,0,300,10.7,7.7,7.4,5.7,1.5,Late Mesolithic,N/A,301525.563,6866196.212,301525.5636866196.212,
