Ecozone,Admn.County,Muncipality,Muncipality_nr,Farmstead,Gnr,Bnr,AskeladdenID,UiB.nr,Site type,Site name,m2,Conventional date,X (UTM32N),Y (UTM32N),M.a.s.l (Geom_Max),M.a.s.l (Geom_Mean),M.a.s.l (Geom_Median),M.a.s.l (Geom_Min),M.a.s.l (Geom_Stdev),M.a.s.l (Single point),Reference
Fjords,Hordaland,Alver,4631,Leirvik,304,25,108127,B15566,Open air,Leirvik - Lok. 28 (1996),30.75,Early Mesolithic,284794.9039,6717840.269,23.05845451,21.23475011,20.77738094,20.4083786,0.974167288,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/108127-1
Mainland,Hordaland,Øygarden,4626,Bildøy,34,6 / 124 / 125,211660,B17690,Open air,Bildøy Lok. 28,65,Early Mesolithic,285313.3781,6697814.566,22.59304237,19.18717628,19.69658279,18.66613388,1.853834489,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/211660-1
Fjords,Hordaland,Austevoll,4625,Kvalvåg,20,10,172929,B17025,Open air,Kvalvåg - Uavklart,101.41,Early Mesolithic,281587,6659213,9.958643913,8.953439713,8.953439713,7.948235512,1.005204201,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/172929-1
Outer coast,Hordaland,Austevoll,4625,Drivenes Nordre,1,4,160856,B17016,Open air,Lokalitet 2 Bekkjarviksund,40,Early Mesolithic,288153.133,6659117.69,17.12108421,15.99977733,16.03245783,14.71986103,0.851461322,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/160856-1
Mainland,Hordaland,Sveio,4612,Fjon,80,4,106372,B13704,Open air,Fjon - Lok. 1 (1984b),50,Early Mesolithic,298290.2252,6601561.645,15.77864075,12.95711346,12.90290451,10.67447472,1.732972315,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/106372-1
Fjords,Hordaland,Bømlo,4613,Ulversøy,147,1/9/18/19,96561,B14384,Open air,Ulversøy - Ulvesøy II (Fas 1),60,Early Mesolithic,281574.6646,6644307.865,30.47386169,30.24504423,30.26756191,29.97119141,0.22451458,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/96561-1
Outer coast,Hordaland,Øygarden,4626,Bildøy,34,3,141409,B17666,Open air,Bildøy lok 4,192.32,Early Mesolithic,285035.9288,6697951.477,21.44237137,20.39804649,20.39804649,19.35372162,1.044324875,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/141409-1
Mainland,Hordaland,Bømlo,4613,Røyksund. indre,27,24,6724,B15229,Open air,Røyksund - Lok. 75. Kjøttvika,150,Early Mesolithic,294188.7861,6628424.704,26.82472801,26.0945886,25.99563599,25.46340179,0.560146399,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/6724-1
Fjords,Hordaland,Austrheim,4632,Hopland,155,4,45734,B14546,Open air,Fosnastraumen. Site S10,67,Early Mesolithic,280156.8819,6739916.849,21.90364456,20.87120056,20.87120056,19.83875656,1.032444,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/45734-1
Mainland,Hordaland,Øygarden,4626,Bildøy,34,558,141405,B17663,Open air,Bildøy lok 1,380,Early Mesolithic,284740.7453,6698068.685,17.41744614,16.58953094,16.78211021,15.56903648,0.766798384,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/141405-1
Fjords,Hordaland,Sveio,4612,Rød,102,9/94,106038,B13125/B18452,Open air,Nonsli,150,Early Mesolithic,299167.035,6610330.187,19.81761551,17.82182852,18.06698799,14.6695509,1.805350901,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/106038-1
Outer coast,Hordaland,Øygarden,4626,Straume,35,77,174995,B17620/B17878,Open air,Sotrasambandet lok 7 Arefjordpollen,40,Early Mesolithic,286880.2948,6698483.696,16.10774803,16.00911122,16.05273199,15.99771595,0.070210659,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/174995-1
