Ecozone,Admn.County,Muncipality,Muncipality_nr,Farmstead,Gnr,Bnr,AskeladdenID,UiB.nr,Site type,Site name,m2,Conventional date,X (UTM32N),Y (UTM32N),M.a.s.l (Geom_Max),M.a.s.l (Geom_Mean),M.a.s.l (Geom_Median),M.a.s.l (Geom_Min),M.a.s.l (Geom_Stdev),M.a.s.l (Single point),Reference
Outer coast,Hordaland,Øygarden,4626,Breivik,245,50,94858,B14771,Open air,Breivik - Lok. 41. Revarvika,36,Middle/Late Mesolithic,271350.723,6720908.034,25.20009804,21.96591568,22.29321289,18.0771389,3.031489692,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/94858-1
Outer coast,Hordaland,Øygarden,4626,N/A,34,03-Feb,141412,B17669/B17682,Open air,Bildøy lok 7,455,Middle/Late Mesolithic,284917.1085,6697920.958,18.12351608,15.4209116,14.44312572,13.31733799,1.782490802,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/141412-1
Outer coast,Hordaland,Øygarden,4626,Bildøy,34,2,160876,B17679,Open air,Bildøy-Lok 16 / Bildøy-Lok 5,37.76,Middle/Late Mesolithic,284869.3129,6697837.049,14.50762272,14.15730392,13.76711178,13.02660084,0.83702232,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/160876-1
Outer coast,Hordaland,Øygarden,4626,Bjorøy,51,15/158,95620,B14577,Open air,Bjorøy - Lok. 11. Ørnedalen,251.49,Middle/Late Mesolithic,287981.4757,6693194.444,17.12098503,16.04506207,15.67938709,15.33481407,0.773688272,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/95620-1
Mainland,Hordaland,Austrheim,4632,Hopland,155,17-Jan,25772,B14558,Open air,Hopland - Lok. 1,176,Middle/Late Mesolithic,279539.6889,6740164.492,20.1830368,19.06858253,19.70493698,17.31777382,1.253300504,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/25772-1
Outer coast,Hordaland,Alver,4631,Straume,493,2,60574,B14520,Open air,Rappeneset 2 (R22),161,Middle/Late Mesolithic,279871.3809,6739210.678,21.08587074,17.40880124,16.98903847,14.64988422,2.055476315,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/108157-1
Outer coast,Hordaland,Øygarden,4626,Bjorøy,50,502/660/661/700,95626,B15012,Open air,Bjorøy - Lok. 18. Lektaneset,728.22,Middle/Late Mesolithic,288847.5383,6694589.989,24.21013832,22.78731251,22.77814579,21.44976234,0.823857092,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/95626-1
Outer coast,Hordaland,Øygarden,4626,Bjorøy,50,7,95628,B15014,Open air,Sørevatn lok. 21,272.66,Middle/Late Mesolithic,289013.5927,6694364.638,19.55459213,17.84981823,17.84981823,16.14504433,1.704773903,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/95628-1
Fjords,Hordaland,Alver,4631,Mongstad,127,18,97671,B18433,Open air,Mongstad - Lok. 1. Søndre Dyrøyvågen,360,Middle/Late Mesolithic,283522.2312,6748242.941,7.973570824,7.455287695,7.949181795,5.822203159,0.858858269,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/97671-1
Fjords,Hordaland,Stord,4614,Byrkjeland,46,44572,102448,B10965,Open air,Byrkjeland - Fetts fk. 3. Løkjen,764.92,Middle/Late Mesolithic,300194.203,6629162.749,16.07318687,12.75849664,12.80218124,9.586760521,1.993013397,N/A,https://www.unimus.no/portal/#/search/things/freetext?value=B10965&requirePhoto=false
Fjords,Hordaland,Bømlo,4613,Eidet,154,11-Jan,94325,B14394,Open air,Eidet lok. VI,18,Middle/Late Mesolithic,281789.4343,6646621.623,N/A,N/A,N/A,N/A,N/A,10.70331478,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/94325-1
Outer coast,Hordaland,Bømlo,4613,Svortland,109,561,139679,B17405,Open air,Svortland lok. 4,81.85,Middle/Late Mesolithic,285288.0255,6633999.983,14.78167439,14.75754942,14.74533939,14.7090044,0.038331662,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/139679-1
Outer coast,Hordaland,Øygarden,4626,Bildøy,34,557/558,141414,B17670,Open air,Bildøy lok 8,717.44,Middle/Late Mesolithic,285225.4884,6697784.155,N/A,N/A,N/A,N/A,N/A,15.51627731,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/141414-1
Outer coast,Hordaland,Bømlo,4613,Andal,53/54,1/3/4/14/2,93959,B13882,Open air,Lokalitet Tollesvik / Lok. Tollevika,75,Middle/Late Mesolithic,287632.8445,6617238.586,13.48611832,13.27718604,12.7470274,9.285916328,2.327728131,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/93959-1
Fjords,Hordaland,Austrheim,4632,Hopland,155,14-Jan,55440,B14638,Open air,Hopland 3 (H3),236,Middle/Late Mesolithic,279611.8166,6740064.996,16.31837845,12.99132983,13.11036015,9.945466995,1.92163442,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/55440-1
Mainland,Hordaland,Sveio,4612,Vågastøl,83,07-Feb,106375,B14203,Open air,Våga - Lok. 1A,200,Middle/Late Mesolithic,299293,6606221,20.08271217,13.37343005,13.21424198,8.095846176,2.801652734,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/106375-2
Outer coast,Hordaland,Sveio,4612,Vågastøl,83,07-Feb,106375,B14203,Open air,Våga - Lok. 1B,800,Middle/Late Mesolithic,299244.4095,6606210.394,20.08271217,13.37343005,13.21424198,8.095846176,2.801652734,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/106375-2
Outer coast,Hordaland,Sveio,4612,Vågastøl,83,07-Feb,106375,B14202,Open air,Våga - Lok. 1B,800,Middle/Late Mesolithic,299258,6606188,20.08271217,13.37343005,13.21424198,8.095846176,2.801652734,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/106375-2
Fjords,Hordaland,Øygarden,4626,Vik,234,4,95517,B13509,Open air,Vik - Lok. 12,387.51,Middle/Late Mesolithic,277547.7859,6710287.237,15.47947788,14.80650091,14.83273077,14.08106422,0.505665832,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/95517-1
Outer coast,Hordaland,Øygarden,4626,Oen,243,1/3/6/7/9/250,95478,N/A,Open air,"One - Lok. 14, Straumøy",600,Middle/Late Mesolithic,273032.3017,6723566.457,13.40014362,12.04718733,12.14389467,10.50081635,1.197608505,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/95478-1
Fjords,Hordaland,Øygarden,4626,Oen,243,2,95466,N/A,Open air,"One - Lok. 1, Søre Straumsøysund",118.82,Middle/Late Mesolithic,273273.3642,6723100.369,16.70292473,14.90325417,14.68693829,11.33833027,1.852043494,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/95466-1
Fjords,Hordaland,Alver,4631,Toska,443,120,91022,N/A,Open air,Toska - Lok. 3 (1998),4,Middle/Late Mesolithic,279969.5085,6729544.016,13.92604542,11.69244299,11.88079929,10.72037601,1.320660846,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/91022-1
Outer coast,Hordaland,Alver,4631,Floen,442,1,91028,N/A,Open air,"Flona - Lok. 2 (1997), Flona",100,Middle/Late Mesolithic,279565.7866,6730811.553,14.33161545,13.38090134,13.38090134,12.43018723,0.950714111,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/91028-1
Mainland,Hordaland,Alver,4631,Floen,442,1,91029,N/A,Open air,"Flona - Lok. 3 (1997), Flona",50,Middle/Late Mesolithic,279352.9145,6730747.782,12.90198803,12.12834573,12.15065956,11.31007576,0.586655342,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/91029-1
Outer coast,Hordaland,Bømlo,4613,Espevær,May-46,1,90573,B9311/B12106,Quarry,"Espevær - Fetts fk. 7, Hespriholmen / Hespriholmen - Fetts fkt. 7",6749.35,Middle/Late Mesolithic,280686.0432,6614522.075,21.80763626,9.712645935,11.32439566,0,7.814061334,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/90573-1
Outer coast,Hordaland,Bømlo,4613,Eide,57,2/31,94292,B7052/B7054/B7053,Open air,"Eide - Fetts fk. 6/1, Roaldsfjord",1843.86,Middle/Late Mesolithic,284843.7439,6614573.244,9.869016647,3.94745678,3.801116467,0,2.466853844,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/94292-1
Outer coast,Hordaland,Austrheim,4632,Synnevåg,133,3,90769,B18111,Open air,Synnevåg - Lok. 1 (1997),975,Middle/Late Mesolithic,280767.6848,6746405.301,14.56318188,12.68177553,12.83045387,9.885809898,1.572207471,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/90769-1
Outer coast,Hordaland,Austrheim,4632,Solend,139,1,90856,N/A,Open air,Solend - Førlandsvågen 1,100,Middle/Late Mesolithic,279896.5105,6742121.573,16.16696167,8.521232527,8.708798885,1.897240996,4.802056063,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/90856-1
Fjords,Hordaland,Bømlo,4613,Berge,61,2,89424,B17280/B16869,Quarry,"Berge - Jaspisbrot, Skjervika / Jaspisbrot Skjervika",3658.81,Middle/Late Mesolithic,287343.3299,6618669.611,29.09285545,18.60511971,18.42313576,11.15188789,4.242300659,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/89424-1
Outer coast,Hordaland,Modalen,4629,Nottveit,73,N/A,91306,N/A,Rock shelter,Nottveit - Lok. 1,10,Middle/Late Mesolithic,320021.2591,6740729.468,19.07100677,18.47649624,18.46765804,17.86430931,0.603413462,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/91306-1
Fjords,Hordaland,Øygarden,4626,Børnes øvre,110,4,91328,N/A,Open air,"Børnes - Lok. 1, Førdespollen",182,Middle/Late Mesolithic,286377.0747,6681668.62,19.02337074,17.15511608,16.74250603,16.11208153,1.150284846,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/91328-1
Outer coast,Hordaland,N/A,N/A,N/A,N/A,N/A,72891,B12641,Open air,"Vindenes - Lok. 12, Vestre Kalvnesvikja",148.5,Middle/Late Mesolithic,280424.226,6706343.799,22.34041405,17.11385686,17.96225548,13.68198586,3.09587343,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/72891-1
Outer coast,Hordaland,N/A,N/A,N/A,N/A,N/A,72880,B12938,Open air,Tranøyno - Steinalderlokalitet,120.5,Middle/Late Mesolithic,287579.4461,6645047.204,29.5067997,27.59394827,26.75035858,25.5528965,1.361503069,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/72880-1
Fjords,Hordaland,N/A,N/A,N/A,N/A,N/A,66703,B14542,Open air,"Hopland - Snekkevik 6, Tangane",528,Middle/Late Mesolithic,280217.691,6739846.487,13.35793781,12.61800257,12.39541054,12.10065937,0.536872226,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/66703-1
Fjords,Hordaland,N/A,N/A,N/A,N/A,N/A,60575,B14530,Open air,Straume - Rappeneset 36,452,Middle/Late Mesolithic,280152.4213,6739032.922,13.12280273,11.83469486,12.2958107,9.195793152,1.192522931,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/60575-1
Fjords,Hordaland,N/A,N/A,N/A,N/A,N/A,97119,B14336,Open air,"Duesund - Lok. 1, Duesundøy",326.12,Middle/Late Mesolithic,299118.2051,6747146.738,15.28090858,14.58187294,14.92231655,13.54239368,0.749459763,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/97119-1
Fjords,Hordaland,N/A,N/A,N/A,N/A,N/A,174638,N/A,Open air,Hammarsland lok. 2,258.34,Middle/Late Mesolithic,293383.0335,6692229.779,14.62729836,14.35539468,14.60130787,13.83757782,0.366305522,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/174638-1
Outer coast,Hordaland,N/A,N/A,N/A,N/A,N/A,174639,N/A,Open air,Hammarsland lok. 3,470,Middle/Late Mesolithic,293421.6885,6692213.089,15.87422276,14.86054707,14.67005014,14.22786522,0.613919328,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/174639-1
Outer coast,Hordaland,Bømlo,4613,Ulversøy,147,1/9/18/19,96561,B14384,Open air,Ulversøy - Ulvesøy II (Fas 2),60,Middle/Late Mesolithic,281574.6646,6644307.865,30.47386169,30.24504423,30.26756191,29.97119141,0.22451458,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/96561-1
Outer coast,Hordaland,N/A,N/A,N/A,N/A,N/A,174992,N/A,Open air,Sotrasambandet lok 10 Arefjordpollen,120,Middle/Late Mesolithic,287001.381,6698578.909,18.09012032,14.81929503,14.73289537,13.35650539,1.554340312,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/174992-1
Fjords,Hordaland,N/A,N/A,N/A,N/A,N/A,174643,N/A,Open air,Hammarsland lok. 6,876.61,Middle/Late Mesolithic,293458.2897,6692149.984,16.43322754,16.14300847,16.14362431,15.78098297,0.245644747,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/174643-1
Outer coast,Hordaland,N/A,N/A,N/A,N/A,N/A,174645,N/A,Open air,Hammarsland lok. 8,173.39,Middle/Late Mesolithic,293472.2593,6692089.288,18.74625015,18.0134182,18.0134182,17.28058624,0.732831955,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/174645-1
Fjords,Hordaland,Øygarden,4626,N/A,N/A,N/A,25615,B12403,Open air,"Sangolt - Skottanes, Lok. 1, Sangoltshella",150.5,Middle/Late Mesolithic,285681.8979,6686099.503,20.55079269,19.67691594,19.55590439,19.14405441,0.535120742,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/25615-1
Outer coast,Hordaland,Bergen,4601,N/A,N/A,N/A,25783,B16600/B16601,Open air,"Steinsvik - Fetts fk. 2, Neshaugane",375,Middle/Late Mesolithic,295747.4824,6691603.56,17.32769203,16.76611567,16.82626915,16.08423233,0.451773885,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/lokalitetdetails/25783
Outer coast,Hordaland,Bømlo,4613,N/A,N/A,N/A,16098,N/A,Open air,Hovland - Mekjeretjødno IX,136,Middle/Late Mesolithic,287573.6792,6613126.514,11.60284138,10.29112884,10.0308404,8.40284729,1.410471501,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/16098-1
Outer coast,Hordaland,Alver,4631,N/A,N/A,N/A,15841,B14796/B14640/B14507,Open air,Straume - Rappeneset 8,275,Middle/Late Mesolithic,279682.2669,6739392.515,12.37668037,10.46040626,10.75092506,7.681080341,1.633984804,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/lokalitetdetails/15841
Outer coast,Hordaland,Ulvik,4620,N/A,N/A,N/A,135010,N/A,Open air,Finseøya Ib,45,Middle/Late Mesolithic,417461.2978,6718432.197,1216.991089,1216.300232,1216.300232,1215.609375,0.690856934,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/135010-1
Outer coast,Hordaland,Kvinnherad,4617,N/A,N/A,N/A,135141,N/A,Open air,Undarheim Lok.1,200,Middle/Late Mesolithic,319087.6908,6640547.886,19.26321411,19.03829384,19.03829384,18.81337357,0.224920273,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/135141-1
Outer coast,Hordaland,Bømlo,4613,N/A,N/A,N/A,127388,N/A,Rock shelter,"Rubbestadneset - Lok. 3, Omnavika",250,Middle/Late Mesolithic,289852.2219,6636435.579,18.00475693,14.3268741,12.64654922,12.32931614,2.603878619,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/127388-1
Outer coast,Hordaland,Alver,4631,N/A,N/A,N/A,121540,N/A,Open air,"Lokalitet 1, Håøy",757.38,Middle/Late Mesolithic,294179.8602,6718149.388,14.6500082,13.29375447,13.48782539,11.72439766,0.840935824,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/121540-1
Outer coast,Hordaland,Eidfjord,4619,N/A,N/A,N/A,130832,N/A,Open air,Austbu og Vestbu Sumtangen Finnsbergvatn,529.31,Middle/Late Mesolithic,423815.5461,6706860.068,1190.557861,1190.429272,1190.404297,1190.275024,0.106656615,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/130832-1
Outer coast,Hordaland,Stord,4614,N/A,N/A,N/A,116203,B13839/B13711,Open air,Melkevik - Lok. Melkevik Sør (Lok. A),100,Middle/Late Mesolithic,295629.5895,6633510.501,18.9701004,16.82448735,15.99785519,12.93954754,2.127060293,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/116203-1
Mainland,Hordaland,Bømlo,4613,N/A,N/A,N/A,117496,N/A,Open air,Rolvsnes - Lok. 2 (2007),890,Middle/Late Mesolithic,284892.3573,6643748.453,19.24308968,14.9271289,13.66327572,11.92197418,2.586977704,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/117496-1
Outer coast,Hordaland,Bergen,4601,N/A,N/A,N/A,116666,N/A,Open air,Lokalitet 7 Hjellestad,1000,Middle/Late Mesolithic,291845.3717,6685010.381,20.67826271,18.02091047,17.60563087,16.90116119,1.123047701,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/116666-1
Outer coast,Hordaland,Austevoll,4625,N/A,N/A,N/A,118537,N/A,Open air,"Storebø - Lok. 2, Prestaneset / Prestaneset - Lok.2",260,Middle/Late Mesolithic,289747.4173,6668052.904,18.55101776,17.96864605,17.96864605,17.38627434,0.582371712,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/118537-1
Mainland,Hordaland,Bergen,4601,N/A,N/A,N/A,114268,N/A,Open air,Lokalitet Djupevik,241.69,Middle/Late Mesolithic,294562.7411,6681870.072,18.51358414,16.56177807,15.66718102,15.50456905,1.381731006,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/114268-1
Fjords,Hordaland,Bergen,4601,N/A,N/A,N/A,113897,B13725,Open air,Ytre Arna - Lok. 1 (Auestad 1986),85,Middle/Late Mesolithic,304849.6207,6705583.371,17.48843002,15.61131318,14.71529961,14.63020992,1.327776533,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/113897-1
Fjords,Hordaland,Sveio,4612,N/A,N/A,N/A,112257,B13892,Open air,Våga - Lok. 1 (1986),45,Middle/Late Mesolithic,299248.9657,6606161.255,14.77286053,14.39924979,14.45723724,13.90966415,0.33094619,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/112257-1
Fjords,Hordaland,Bergen,4601,N/A,N/A,N/A,113887,B16153,Open air,"Stend - Lok. 4, Stendavika",150,Middle/Late Mesolithic,296549.3925,6687137.613,24.32307816,22.46082706,22.36474991,21.13610268,0.933480911,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/113887-1
Outer coast,Hordaland,Bergen,4601,N/A,N/A,N/A,113841,N/A,Open air,"Tellevik - Lok. 3, Klauvaneset",40,Middle/Late Mesolithic,295587.7722,6715061.219,19.22648811,17.67335041,16.95769978,15.74608707,1.346365683,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/113841-1
Outer coast,Hordaland,Bergen,4601,N/A,N/A,N/A,113869,B16093,Open air,"Stend - Lok. 1, Stendavika",200,Middle/Late Mesolithic,296453.9997,6687151.156,17.97880936,17.47086239,17.47086239,16.96291542,0.507946968,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/113869-1
Outer coast,Hordaland,Bergen,4601,N/A,N/A,N/A,113885,B16152,Open air,"Stend - Lok. 3, Stendavika",180,Middle/Late Mesolithic,296427.2948,6687170.776,18.32849884,16.64743948,16.42810154,15.405056,1.126605543,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/113885-1
Outer coast,Hordaland,Bergen,4601,N/A,N/A,N/A,113780,N/A,Open air,Myro - Lok. 11. Håkonshella,80,Middle/Late Mesolithic,289346.2351,6696148.174,7.977623463,7.149324415,6.920057297,6.713202,0.556430734,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/113780-1
Outer coast,Hordaland,Bergen,4601,N/A,N/A,N/A,113765,N/A,Open air,"Myro - Lok. 1b, Håkonshella",150,Middle/Late Mesolithic,289325.3931,6696096.412,10.50915432,10.43304348,10.43304348,10.35693264,0.07611084,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/113765-1
Outer coast,Hordaland,Bergen,4601,N/A,N/A,N/A,95707,B16753,Open air,"Sælen - Lok. 1, Gjeddevann / Gjeddevann lokalitet 1",131.95,Middle/Late Mesolithic,293620.1901,6694660.446,16.65391159,16.621315,16.621315,16.58871841,0.032596588,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/95707-1
Outer coast,Hordaland,Bømlo,4613,N/A,N/A,N/A,96421,N/A,Open air,Spissøy - Lok. 5,500,Middle/Late Mesolithic,296454.0247,6626015.244,15.42187786,13.78301167,13.78674793,12.13667297,1.233062173,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/96421-1
Fjords,Hordaland,Øygarden,4626,Knappskog,30,N/A,95699,B14354,Open air,Knappskog - Lok. 5,30,Middle/Late Mesolithic,282454.1513,6701632.179,19.754179,19.67900658,19.67900658,19.60383415,0.075172424,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/95699-1
Fjords,Hordaland,Øygarden,4626,Knappskog,30,N/A,95703,B14356,Open air,Knappskog - Lok. 7,50,Middle/Late Mesolithic,282403.8573,6701593.448,18.9901104,18.17245166,18.64299965,16.88424492,0.921856429,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/95703-1
Outer coast,Hordaland,Øygarden,4626,N/A,N/A,N/A,95640,N/A,Open air,"Haganes, Lok. 1, Hedlemyra",416.05,Middle/Late Mesolithic,285370.1771,6688679.758,19.52426147,17.44469738,17.08398724,16.08655357,1.298587109,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/95640-1
Fjords,Hordaland,Øygarden,4626,Knappskog,30,N/A,95697,B14353,Open air,Knappskog - Lok. 4,60,Middle/Late Mesolithic,282436.6773,6701601.24,17.39369011,16.29784489,16.29784489,15.20199966,1.095845222,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/95697-1
Outer coast,Hordaland,Øygarden,4626,N/A,N/A,N/A,111323,N/A,Open air,Tjeldstø - Lokalitet 3,250,Middle/Late Mesolithic,272509.6617,6724427.522,14.00067329,12.13677532,12.285429,10.25035191,1.189517728,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/111323-1
Mainland,Hordaland,Bømlo,4613,N/A,N/A,N/A,96434,B15177,Open air,"Spissøy - Lok. 5, Kobbavågen",120,Middle/Late Mesolithic,295303.5988,6627209.798,10.83400536,10.07849471,10.41442966,8.987049103,0.790548785,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/96434-1
Fjords,Hordaland,Bømlo,4613,N/A,N/A,N/A,96437,B15191,Open air,"Spissøy - Lok. 24, Tangavika",500,Middle/Late Mesolithic,295443.3136,6627288.337,16.6270752,14.38868482,13.88992643,13.58707333,1.03619554,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/96437-1
Outer coast,Hordaland,Bømlo,4613,N/A,N/A,N/A,96424,N/A,Open air,Spissøy - Lok. 8,300,Middle/Late Mesolithic,296320.3491,6626025.915,13.49500465,13.08558404,13.00667477,12.78298569,0.236537129,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/96424-1
Outer coast,Hordaland,Bømlo,4613,N/A,N/A,N/A,96426,N/A,Open air,Spissøy - Lok. 10,60,Middle/Late Mesolithic,296338.0578,6625996.128,14.06946945,12.83061028,12.28616142,12.13619995,0.878142416,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/96426-1
Outer coast,Hordaland,Øygarden,4626,Bjorøy,50,N/A,95611,B14575,Open air,"Bjorøy - Lok. 9, Steinsundbotn",516.51,Middle/Late Mesolithic,287895.7229,6693326.694,14.8407259,12.36958275,12.58941841,9.794261932,1.663890575,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/95611-1
Fjords,Hordaland,Øygarden,4626,Bjorøy Nordre,50,N/A,95583,B9836,Open air,Bjorøy - Fetts fk. 4,965.42,Middle/Late Mesolithic,288758.4282,6694044.812,8.61635685,6.354801723,6.468279839,3.021448612,1.859083839,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/95583-1
Outer coast,Hordaland,Øygarden,4626,Bjorøy Nordre,50,30/582,95583,B11896,Open air,Bjorøy - Fetts fk. 4,965.42,Middle/Late Mesolithic,288758.4282,6694044.812,8.61635685,6.354801723,6.468279839,3.021448612,1.859083839,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/95583-1
Outer coast,Hordaland,Øygarden,4626,N/A,N/A,N/A,95729,B12628,Open air,Vindenes - Lok. 57 (Høybøen),40,Middle/Late Mesolithic,279161.6677,6707704.312,16.30734634,14.89729607,15.41532612,13.88742256,0.86287069,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/95729-1
Outer coast,Hordaland,Øygarden,4626,Sture,202,103,94943,B14311,Open air,Sture - Lok. 11B,740,Middle/Late Mesolithic,273161.0972,6727583.205,13.77270412,10.20650244,9.904470444,9.815590858,1.075879104,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/94943-1
Outer coast,Hordaland,Øygarden,4626,N/A,N/A,N/A,94960,B14317,Open air,Sture - Lok. 16,300,Middle/Late Mesolithic,272714.6851,6727169.128,18.6364193,16.92891407,16.92366791,14.67338276,0.903494653,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/94960-1
Outer coast,Hordaland,Øygarden,4626,Sture,202,103,94941,B14310,Open air,Sture - Lok. 11A,500,Middle/Late Mesolithic,273169.8559,6727475.741,13.99802589,12.93801921,13.75549698,9.910829544,1.458987886,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/94941-1
Fjords,Hordaland,Alver,4631,Flatøy,1,N/A,107898,B12783,Open air,Flatøy - Lok. IX,50,Middle/Late Mesolithic,294775.9178,6716725.726,16.99505234,15.57096984,16.05988884,15.3149147,0.935730001,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/107898-1
Fjords,Hordaland,Alver,4631,Krossneset,1,7,107919,B13524,Open air,"Flatøy - Lok. 1 (1986), Midtmarka",118.47,Middle/Late Mesolithic,294642.1936,6717634.576,19.87627411,16.8195836,16.07118607,14.5272131,2.089979556,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/107919-1
Mainland,Hordaland,Alver,4631,Hjelten,1,6,107937,B13526,Open air,"Flatøy - Lok. 3 (1986), Midtmarka",75.46,Middle/Late Mesolithic,294627.4962,6717326.592,18.14371109,16.9267858,17.15603065,16.13374138,0.786189162,N/A,https://askeladden.ra.no/AskeladdenRedigering/#/kulturminneskjema/107937-1
